date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2021-10-26,13.133333333333333,39.07070707070707,0.24603174603174602,17.08955223880597,22.77935943060498,3.579310344827586
2021-10-27,17.61111111111111,42.795918367346935,4.023715415019763,19.91549295774648,22.190647482014388,3.0689655172413794
2021-10-28,26.288,56.177083333333336,5.7421875,21.159420289855074,21.851590106007066,1.8827586206896552
2021-10-29,19.170542635658915,47.25242718446602,2.730337078651685,20.066666666666666,28.71814671814672,2.5106382978723403
2021-10-30,27.381294964028775,59.33653846153846,14.806896551724138,36.55072463768116,26.063025210084035,-0.26153846153846155
2021-10-31,46.76258992805755,72.68131868131869,43.63414634146341,26.35211267605634,27.656565656565657,-0.9541284403669725
2021-11-01,9.3109243697479,32.26262626262626,8.331932773109244,11.691176470588236,-38.66,11.297101449275363
2021-11-02,20.18487394957983,56.350515463917525,9.752988047808765,25.666666666666668,23.77007299270073,1.3767123287671232
2021-11-03,20.88617886178862,51.224489795918366,7.757085020242915,22.144927536231883,22.52173913043478,2.2739726027397262
2021-11-04,21.440944881889763,47.875,4.770428015564202,22.16417910447761,21.406360424028268,2.6413793103448278
2021-11-05,20.976744186046513,48.51960784313726,5.4907063197026025,20.575342465753426,30.834615384615386,1.9859154929577465
2021-11-06,20.892086330935253,48.504672897196265,7.444827586206896,25.774647887323944,26.435684647302903,0.8846153846153846
2021-11-07,17.704225352112676,40.39784946236559,8.172185430463577,24.788732394366196,18.528846153846153,2.490740740740741
2021-11-08,16.958677685950413,45.45,2.638211382113821,26.205882352941178,23.655677655677657,2.93006993006993
2021-11-09,17.75206611570248,44.744897959183675,6.157258064516129,21.215384615384615,24.784671532846716,2.5684931506849313
2021-11-10,20.128,44.26,5.540322580645161,23.485294117647058,23.545787545787547,2.1496598639455784
2021-11-11,23.53543307086614,44.61224489795919,8.295275590551181,24.08955223880597,22.704626334519574,1.7876712328767124
2021-11-12,22.315384615384616,46.198019801980195,8.30916030534351,30.041666666666668,29.312741312741313,1.4405594405594406
2021-11-13,26.751824817518248,49.05769230769231,16.591549295774648,47.161764705882355,22.7172131147541,-0.031007751937984496
2021-11-14,31.198529411764707,45.285714285714285,32.608247422680414,28.238805970149254,17.106796116504853,0.0
2021-11-15,12.184873949579831,27.767676767676768,14.212121212121213,15.833333333333334,-38.58862876254181,10.371428571428572
