epiweek,Cases
2021-07-05,11560.0
2021-07-06,21706.0
2021-07-07,19481.0
2021-07-08,21526.0
2021-07-09,18058.0
2021-07-10,15270.0
2021-07-11,10088.0
2021-07-12,18482.0
2021-07-13,17202.0
2021-07-14,14756.0
2021-07-15,14650.0
2021-07-16,13761.0
2021-07-17,9545.0
2021-07-18,5998.0
2021-07-19,11162.0
2021-07-20,5871.0
2021-07-21,9993.0
2021-07-22,10636.0
2021-07-23,9449.0
2021-07-24,7476.0
2021-07-25,4811.0
2021-07-26,8583.0
2021-07-27,7668.0
2021-07-28,6960.0
2021-07-29,7105.0
2021-07-30,6426.0
2021-07-31,5307.0
2021-08-01,2929.0
2021-08-02,5771.0
2021-08-03,4981.0
2021-08-04,4424.0
2021-08-05,4179.0
2021-08-06,4211.0
2021-08-07,2493.0
2021-08-08,2142.0
2021-08-09,4562.0
2021-08-10,3935.0
2021-08-11,3618.0
2021-08-12,3729.0
2021-08-13,2975.0
2021-08-14,2291.0
2021-08-15,1340.0
2021-08-16,1670.0
2021-08-17,2784.0
2021-08-18,2414.0
2021-08-19,2534.0
2021-08-20,2562.0
2021-08-21,1928.0
2021-08-22,1136.0
2021-08-23,2602.0
2021-08-24,2032.0
2021-08-25,1958.0
2021-08-26,1997.0
2021-08-27,1918.0
2021-08-28,1471.0
2021-08-29,868.0
2021-08-30,1955.0
2021-08-31,1584.0
2021-09-01,1389.0
2021-09-02,1473.0
2021-09-03,1513.0
2021-09-04,1167.0
2021-09-05,810.0
2021-09-06,1511.0
2021-09-07,1386.0
2021-09-08,1411.0
2021-09-09,1439.0
2021-09-10,1497.0
2021-09-11,1164.0
2021-09-12,752.0
2021-09-13,1676.0
2021-09-14,1612.0
2021-09-15,1416.0
2021-09-16,1647.0
2021-09-17,1575.0
2021-09-18,1239.0
2021-09-19,973.0
2021-09-20,1790.0
2021-09-21,1579.0
2021-09-22,1379.0
2021-09-23,1533.0
2021-09-24,1604.0
2021-09-25,1287.0
2021-09-26,955.0
2021-09-27,1706.0
2021-09-28,1509.0
2021-09-29,1291.0
2021-09-30,1217.0
2021-10-01,1227.0
2021-10-02,1030.0
2021-10-03,828.0
2021-10-04,1593.0
2021-10-05,1491.0
2021-10-06,1283.0
2021-10-07,1307.0
2021-10-08,1376.0
2021-10-09,1228.0
2021-10-10,818.0
2021-10-11,1679.0
2021-10-12,1555.0
2021-10-13,1295.0
2021-10-14,1644.0
2021-10-15,1595.0
2021-10-16,1302.0
2021-10-17,946.0
2021-10-18,1043.0
2021-10-19,2016.0
2021-10-20,1646.0
2021-10-21,1469.0
2021-10-22,1636.0
2021-10-23,1513.0
2021-10-24,1112.0
2021-10-25,2181.0
2021-10-26,2068.0
2021-10-27,1646.0
2021-10-28,1835.0
2021-10-29,1729.0
2021-10-30,1401.0
2021-10-31,1036.0
2021-11-01,1283.0
2021-11-02,2324.0
2021-11-03,1939.0
2021-11-04,2068.0
2021-11-05,2594.0
2021-11-06,1932.0
2021-11-07,1541.0
2021-11-08,3018.0
2021-11-09,2834.0
2021-11-10,2292.0
2021-11-11,2780.0
2021-11-12,2606.0
2021-11-13,2226.0
2021-11-14,1646.0
2021-11-15,1389.0
2021-11-16,2851.0
2021-11-17,2387.0
2021-11-18,2802.0
2021-11-19,2704.0
2021-11-20,2090.0
2021-11-21,1543.0
2021-11-22,2857.0
2021-11-23,2356.0
2021-11-24,2015.0
2021-11-25,2150.0
2021-11-26,2014.0
2021-11-27,1352.0
2021-11-28,1166.0
2021-11-29,2462.0
2021-11-30,2206.0
2021-12-01,1993.0
2021-12-02,2300.0
2021-12-03,2048.0
2021-12-04,1474.0
2021-12-05,1136.0
2021-12-06,2487.0
2021-12-07,2135.0
2021-12-08,879.0
2021-12-09,2332.0
2021-12-10,2095.0
2021-12-11,1703.0
2021-12-12,1623.0
2021-12-13,2429.0
2021-12-14,2039.0
2021-12-15,2149.0
2021-12-16,2914.0
2021-12-17,3379.0
2021-12-18,3581.0
2021-12-19,3666.0
2021-12-20,5511.0
2021-12-21,4372.0
2021-12-22,5250.0
2021-12-23,7960.0
2021-12-24,9422.0
2021-12-25,10284.0
2021-12-26,12002.0
2021-12-27,17295.0
2021-12-28,18265.0
2021-12-29,17936.0
2021-12-30,20370.0
2021-12-31,24187.0
2022-01-01,16438.0
2022-01-02,20150.0
2022-01-03,33179.0
2022-01-04,36327.0
2022-01-05,37188.0
2022-01-06,44285.0
2022-01-07,41514.0
2022-01-08,31966.0
2022-01-09,21452.0
2022-01-10,20704.0
2022-01-11,32841.0
2022-01-12,29191.0
2022-01-13,27158.0
2022-01-14,23868.0
2022-01-15,20534.0
2022-01-16,13845.0
2022-01-17,23872.0
2022-01-18,22601.0
2022-01-19,20447.0
2022-01-20,21642.0
2022-01-21,20358.0
2022-01-22,15192.0
2022-01-23,10081.0
2022-01-24,20331.0
2022-01-25,18354.0
2022-01-26,15985.0
2022-01-27,14328.0
2022-01-28,16830.0
2022-01-29,11319.0
2022-01-30,6599.0
2022-01-31,11914.0
2022-02-01,10089.0
2022-02-02,9047.0
2022-02-03,8468.0
2022-02-04,6937.0
2022-02-05,5271.0
2022-02-06,3438.0
2022-02-07,5688.0
2022-02-08,4800.0
2022-02-09,4620.0
2022-02-10,4599.0
2022-02-11,3771.0
2022-02-12,2886.0
2022-02-13,1943.0
2022-02-14,3442.0
2022-02-15,2906.0
2022-02-16,2839.0
2022-02-17,2329.0
2022-02-18,2035.0
2022-02-19,1482.0
2022-02-20,1024.0
2022-02-21,1729.0
2022-02-22,1535.0
2022-02-23,1404.0
2022-02-24,1321.0
2022-02-25,1264.0
2022-02-26,901.0
2022-02-27,537.0
2022-02-28,918.0
2022-03-01,889.0
2022-03-02,763.0
2022-03-03,719.0
2022-03-04,709.0
2022-03-05,480.0
2022-03-06,318.0
2022-03-07,574.0
2022-03-08,520.0
2022-03-09,405.0
2022-03-10,349.0
2022-03-11,389.0
2022-03-12,316.0
2022-03-13,224.0
2022-03-14,411.0
2022-03-15,368.0
2022-03-16,259.0
2022-03-17,394.0
2022-03-18,341.0
2022-03-19,285.0
2022-03-20,209.0
2022-03-21,146.0
2022-03-22,303.0
2022-03-23,321.0
2022-03-24,319.0
2022-03-25,307.0
2022-03-26,266.0
2022-03-27,165.0
2022-03-28,294.0
2022-03-29,277.0
2022-03-30,269.0
2022-03-31,268.0
2022-04-01,282.0
2022-04-02,180.0
2022-04-03,133.0
2022-04-04,279.0
2022-04-05,240.0
2022-04-06,228.0
2022-04-07,328.0
2022-04-08,240.0
2022-04-09,189.0
2022-04-10,99.0
2022-04-11,193.0
2022-04-12,253.0
2022-04-13,184.0
2022-04-14,112.0
2022-04-15,89.0
2022-04-16,139.0
2022-04-17,138.0
2022-04-18,268.0
2022-04-19,235.0
2022-04-20,225.0
2022-04-21,231.0
2022-04-22,218.0
2022-04-23,111.0
2022-04-24,81.0
2022-04-25,175.0
2022-04-26,151.0
2022-04-27,191.0
2022-04-28,164.0
2022-04-29,125.0
2022-04-30,74.0
2022-05-01,53.0
2022-05-02,66.0
2022-05-03,9.0
