date,retail_and_recreation_percent_change_from_baseline_Chile,grocery_and_pharmacy_percent_change_from_baseline_Chile,parks_percent_change_from_baseline_Chile,transit_stations_percent_change_from_baseline_Chile,workplaces_percent_change_from_baseline_Chile,residential_percent_change_from_baseline_Chile
2020-06-26,-57.73015873015873,-41.05,-61.183098591549296,-61.317460317460316,-33.608695652173914,26.087719298245613
2020-06-27,-59.140625,-40.79365079365079,-65.32394366197182,-63.79365079365079,-26.62686567164179,23.16
2020-06-28,-67.77049180327869,-50.53225806451613,-72.1,-73.7,-28.12121212121212,22.666666666666668
2020-06-29,-77.0,-58.032786885245905,-73.25,-76.74193548387096,-68.07352941176471,32.95918367346939
2020-06-30,-53.62903225806452,-37.22950819672131,-58.15714285714286,-56.20634920634921,-33.15942028985507,20.92982456140351
2020-07-01,-55.67741935483871,-37.40983606557377,-60.07142857142857,-58.57142857142857,-34.2463768115942,22.75438596491228
2020-07-02,-55.37096774193548,-37.63333333333333,-59.042857142857144,-58.74193548387097,-33.955882352941174,23.105263157894736
2020-07-03,-55.19047619047619,-36.622950819672134,-59.57746478873239,-60.84126984126984,-32.89855072463768,25.43859649122807
2020-07-04,-60.015625,-41.38095238095238,-68.05633802816901,-66.17460317460318,-28.26865671641791,24.12
2020-07-05,-63.523809523809526,-45.854838709677416,-68.0,-69.31666666666666,-24.166666666666668,21.625
2020-07-06,-52.596774193548384,-37.377049180327866,-56.732394366197184,-57.36507936507937,-33.028985507246375,21.736842105263158
2020-07-07,-54.193548387096776,-38.483333333333334,-58.732394366197184,-56.20634920634921,-34.0,21.54385964912281
2020-07-08,-55.96774193548387,-40.11666666666667,-59.49295774647887,-57.44444444444444,-33.68115942028985,22.666666666666668
2020-07-09,-57.403225806451616,-41.95,-60.16901408450704,-60.078125,-34.405797101449274,23.666666666666668
2020-07-10,-55.57142857142857,-39.233333333333334,-58.91549295774648,-60.375,-32.14492753623188,25.403508771929825
2020-07-11,-58.4375,-40.74193548387097,-64.66197183098592,-64.046875,-24.940298507462686,22.78
2020-07-12,-64.87301587301587,-49.774193548387096,-68.70422535211267,-70.45161290322581,-23.984848484848484,21.583333333333332
2020-07-13,-53.12903225806452,-40.61666666666667,-56.84507042253521,-57.609375,-32.11764705882353,21.49122807017544
2020-07-14,-53.354838709677416,-39.22950819672131,-56.87323943661972,-55.01587301587302,-33.38235294117647,21.12280701754386
