date,retail_and_recreation_percent_change_from_baseline_Bolivia,grocery_and_pharmacy_percent_change_from_baseline_Bolivia,parks_percent_change_from_baseline_Bolivia,transit_stations_percent_change_from_baseline_Bolivia,workplaces_percent_change_from_baseline_Bolivia,residential_percent_change_from_baseline_Bolivia
2020-08-08,-66.0,-59.69230769230769,-58.326530612244895,-71.75,-41.38297872340426,28.666666666666668
2020-08-09,-70.75862068965517,-68.96296296296296,-62.958333333333336,-75.61290322580645,-33.53658536585366,26.6
2020-08-10,-38.793103448275865,-21.74074074074074,-33.333333333333336,-53.55882352941177,-25.130434782608695,20.318181818181817
2020-08-11,-42.13333333333333,-27.142857142857142,-38.333333333333336,-53.55882352941177,-27.533333333333335,20.863636363636363
2020-08-12,-42.03448275862069,-28.115384615384617,-37.348837209302324,-51.205882352941174,-25.466666666666665,21.318181818181817
2020-08-13,-41.793103448275865,-25.428571428571427,-35.77272727272727,-51.22857142857143,-25.67391304347826,21.09090909090909
2020-08-14,-44.86666666666667,-27.703703703703702,-38.340425531914896,-55.371428571428574,-26.444444444444443,23.681818181818183
2020-08-15,-64.8,-61.148148148148145,-59.02173913043478,-67.9090909090909,-39.91304347826087,28.473684210526315
2020-08-16,-67.7,-65.51851851851852,-61.583333333333336,-71.84375,-33.048780487804876,25.714285714285715
2020-08-17,-45.1,-25.75,-38.61538461538461,-49.583333333333336,-32.0,19.130434782608695
2020-08-18,-44.4,-28.416666666666668,-40.285714285714285,-46.5,-31.61904761904762,18.0
2020-08-19,-49.5,-31.692307692307693,-42.857142857142854,-49.166666666666664,-31.285714285714285,19.391304347826086
2020-08-20,-49.6,-30.833333333333332,-43.875,-48.36363636363637,-36.54545454545455,21.956521739130434
2020-08-21,-50.23076923076923,-34.083333333333336,-45.375,-53.0,-35.19047619047619,22.0
2020-08-22,-74.93333333333334,-74.0,-67.94444444444444,-78.46666666666667,-55.55555555555556,28.5
2020-08-23,-75.93333333333334,-73.57142857142857,-69.23529411764706,-81.46666666666667,-40.714285714285715,24.4375
2020-08-24,-42.6,-23.75,-36.07692307692308,-45.083333333333336,-29.19047619047619,18.08695652173913
2020-08-25,-42.4,-27.083333333333332,-36.38461538461539,-43.916666666666664,-30.181818181818183,17.333333333333332
2020-08-26,-44.7,-28.46153846153846,-37.84615384615385,-44.666666666666664,-27.285714285714285,17.565217391304348
2020-08-27,-43.8,-25.083333333333332,-36.0,-42.90909090909091,-28.863636363636363,17.25
2020-08-28,-46.27272727272727,-30.416666666666668,-39.6,-49.61538461538461,-30.095238095238095,17.73913043478261
2020-08-29,-72.46666666666667,-71.4,-66.41176470588235,-76.93333333333334,-53.529411764705884,25.333333333333332
2020-08-30,-73.5,-71.71428571428571,-65.76470588235294,-79.8,-39.84615384615385,22.1875
2020-08-31,-42.3,-24.916666666666668,-36.57142857142857,-44.833333333333336,-27.5,16.956521739130434
2020-09-01,-38.3,-22.416666666666668,-32.76923076923077,-41.916666666666664,-27.727272727272727,15.458333333333334
2020-09-02,-40.6,-23.692307692307693,-34.15384615384615,-40.81818181818182,-24.952380952380953,15.869565217391305
2020-09-03,-39.5,-20.75,-32.857142857142854,-41.09090909090909,-27.136363636363637,15.916666666666666
2020-09-04,-45.916666666666664,-28.333333333333332,-38.875,-49.46153846153846,-29.238095238095237,17.391304347826086
2020-09-05,-62.285714285714285,-52.642857142857146,-56.411764705882355,-65.2,-40.470588235294116,19.4
2020-09-06,-68.53333333333333,-64.71428571428571,-61.11764705882353,-75.06666666666666,-37.61538461538461,20.533333333333335
2020-09-07,-38.9,-20.25,-31.833333333333332,-40.54545454545455,-26.523809523809526,15.041666666666666
2020-09-08,-36.9,-21.416666666666668,-30.75,-40.5,-27.476190476190474,13.916666666666666
2020-09-09,-39.3,-21.846153846153847,-32.0,-37.7,-23.523809523809526,13.625
2020-09-10,-37.3,-20.583333333333332,-29.428571428571427,-36.72727272727273,-25.863636363636363,14.208333333333334
2020-09-11,-27.466666666666665,-8.346153846153847,-21.085106382978722,-34.351351351351354,-17.533333333333335,13.782608695652174
2020-09-12,-42.3125,-24.814814814814813,-32.270833333333336,-47.38235294117647,-24.523809523809526,15.952380952380953
2020-09-13,-49.13333333333333,-42.88,-39.191489361702125,-57.484848484848484,-21.75,17.0
2020-09-14,-30.464285714285715,-13.785714285714286,-24.488888888888887,-37.57575757575758,-20.47826086956522,16.291666666666668
2020-09-15,-26.79310344827586,-10.74074074074074,-20.954545454545453,-33.63636363636363,-15.28888888888889,14.25
2020-09-16,-25.571428571428573,-10.555555555555555,-21.30952380952381,-34.80555555555556,-13.511111111111111,14.041666666666666
2020-09-17,-29.379310344827587,-12.321428571428571,-22.77777777777778,-34.44444444444444,-17.17391304347826,14.708333333333334
2020-09-18,-29.033333333333335,-10.148148148148149,-23.152173913043477,-35.54054054054054,-13.733333333333333,14.875
2020-09-19,-41.09375,-21.40740740740741,-31.583333333333332,-46.6,-21.558139534883722,15.571428571428571
2020-09-20,-48.0,-39.08,-40.3125,-55.794117647058826,-18.775,16.27777777777778
2020-09-21,-18.428571428571427,1.2142857142857142,-11.488888888888889,-30.0625,-15.130434782608695,11.625
2020-09-22,-29.233333333333334,-10.074074074074074,-22.11111111111111,-35.14705882352941,-18.622222222222224,13.375
