date,retail_and_recreation_percent_change_from_baseline_Barbados,grocery_and_pharmacy_percent_change_from_baseline_Barbados,parks_percent_change_from_baseline_Barbados,transit_stations_percent_change_from_baseline_Barbados,workplaces_percent_change_from_baseline_Barbados,residential_percent_change_from_baseline_Barbados
2020-07-05,-25.666666666666668,-22.666666666666668,-6.333333333333333,-67.0,-24.0,8.0
2020-07-06,-27.666666666666668,-22.0,-22.0,-54.666666666666664,-33.125,15.666666666666666
2020-07-07,-23.333333333333332,-15.333333333333334,-13.333333333333334,-48.666666666666664,-31.125,14.333333333333334
2020-07-08,-21.333333333333332,-14.333333333333334,-8.0,-51.333333333333336,-31.125,13.333333333333334
2020-07-09,-22.0,-17.333333333333332,-12.0,-47.0,-31.555555555555557,14.0
2020-07-10,-25.75,-18.333333333333332,-11.333333333333334,-53.333333333333336,-29.0,14.333333333333334
2020-07-11,-22.25,-14.666666666666666,-4.0,-52.333333333333336,-20.5,10.0
2020-07-12,-27.666666666666668,-24.333333333333332,-16.0,-61.666666666666664,-24.5,8.0
2020-07-13,-27.666666666666668,-22.333333333333332,-15.666666666666666,-50.0,-32.0,14.333333333333334
2020-07-14,-19.0,-18.0,-6.0,-49.333333333333336,-30.625,12.666666666666666
2020-07-15,-21.0,-17.666666666666668,-4.666666666666667,-48.666666666666664,-31.375,12.666666666666666
2020-07-16,-22.0,-18.0,-9.333333333333334,-48.0,-32.0,13.333333333333334
2020-07-17,-24.75,-15.666666666666666,-9.333333333333334,-50.666666666666664,-29.125,14.333333333333334
2020-07-18,-22.25,-15.0,-1.0,-49.333333333333336,-19.2,9.0
2020-07-19,-19.333333333333332,-22.666666666666668,0.0,-57.666666666666664,-21.0,7.0
2020-07-20,-28.0,-24.333333333333332,-13.666666666666666,-46.666666666666664,-31.25,14.333333333333334
2020-07-21,-22.0,-19.0,-11.666666666666666,-44.666666666666664,-30.0,13.333333333333334
2020-07-22,-19.666666666666668,-7.666666666666667,-3.6666666666666665,-44.333333333333336,-29.75,12.333333333333334
2020-07-23,-13.666666666666666,3.0,-7.0,-43.333333333333336,-28.444444444444443,12.0
2020-07-24,-21.333333333333332,-3.6666666666666665,-18.333333333333332,-47.333333333333336,-29.125,15.0
2020-07-25,-35.0,-31.5,-30.333333333333332,-60.0,-34.5,16.0
2020-07-26,-22.0,-27.333333333333332,-15.0,-57.666666666666664,-24.75,8.0
2020-07-27,-20.0,-19.0,-14.666666666666666,-46.333333333333336,-31.375,13.333333333333334
2020-07-28,-29.333333333333332,-24.666666666666668,-34.666666666666664,-47.333333333333336,-31.444444444444443,15.333333333333334
2020-07-29,-18.666666666666668,-11.666666666666666,-15.666666666666666,-48.666666666666664,-31.75,13.0
2020-07-30,-14.0,-5.333333333333333,-7.333333333333333,-42.333333333333336,-29.625,12.0
2020-07-31,-12.0,6.333333333333333,3.3333333333333335,-39.333333333333336,-26.125,10.0
2020-08-01,-47.25,-63.333333333333336,-3.0,-62.0,-41.5,12.0
2020-08-02,-7.333333333333333,7.333333333333333,8.0,-47.666666666666664,-19.5,4.0
2020-08-03,-54.0,-69.0,5.666666666666667,-72.66666666666667,-75.4,24.0
2020-08-04,-9.333333333333334,1.0,-8.333333333333334,-36.0,-28.625,10.666666666666666
