date,retail_and_recreation_percent_change_from_baseline_Dominican Republic,grocery_and_pharmacy_percent_change_from_baseline_Dominican Republic,parks_percent_change_from_baseline_Dominican Republic,transit_stations_percent_change_from_baseline_Dominican Republic,workplaces_percent_change_from_baseline_Dominican Republic,residential_percent_change_from_baseline_Dominican Republic
2020-04-30,-59.608695652173914,-42.833333333333336,-54.8,-76.84615384615384,-54.774193548387096,29.0
2020-05-01,-60.391304347826086,-43.791666666666664,-55.56,-75.0,-54.63333333333333,29.636363636363637
2020-05-02,-63.333333333333336,-45.791666666666664,-59.46153846153846,-77.0,-44.166666666666664,23.6
2020-05-03,-65.47826086956522,-47.72727272727273,-62.285714285714285,-79.58333333333333,-38.214285714285715,19.428571428571427
2020-05-04,-62.86363636363637,-47.083333333333336,-56.32,-78.61538461538461,-61.806451612903224,30.7
2020-05-05,-56.666666666666664,-39.69565217391305,-51.52,-72.58333333333333,-51.806451612903224,25.916666666666668
2020-05-06,-56.38095238095238,-37.34782608695652,-49.76,-73.0,-52.38709677419355,27.583333333333332
2020-05-07,-56.61904761904762,-38.09090909090909,-50.48,-72.33333333333333,-52.12903225806452,27.833333333333332
2020-05-08,-56.083333333333336,-35.333333333333336,-51.08,-71.3076923076923,-50.766666666666666,27.916666666666668
2020-05-09,-59.21739130434783,-38.458333333333336,-55.73076923076923,-75.0,-40.36666666666667,22.8
2020-05-10,-62.43478260869565,-42.333333333333336,-59.888888888888886,-77.75,-33.964285714285715,18.857142857142858
2020-05-11,-53.904761904761905,-35.0,-49.0,-72.38461538461539,-48.193548387096776,25.75
2020-05-12,-54.333333333333336,-35.77272727272727,-50.0,-71.41666666666667,-48.70967741935484,25.25
2020-05-13,-56.18181818181818,-38.708333333333336,-49.64,-71.15384615384616,-49.70967741935484,26.25
2020-05-14,-55.72727272727273,-37.0,-49.56,-72.38461538461539,-49.774193548387096,25.75
2020-05-15,-55.375,-35.5,-50.6,-71.85714285714286,-47.96666666666667,27.166666666666668
2020-05-16,-57.47826086956522,-35.791666666666664,-52.80769230769231,-71.38461538461539,-37.3,22.0
2020-05-17,-60.21739130434783,-39.095238095238095,-57.074074074074076,-74.75,-29.928571428571427,17.875
2020-05-18,-50.04545454545455,-31.545454545454547,-45.6,-69.25,-44.58064516129032,23.833333333333332
2020-05-19,-49.68181818181818,-29.90909090909091,-44.56,-67.58333333333333,-43.83870967741935,22.916666666666668
2020-05-20,-41.0,-26.772727272727273,-40.88,-63.416666666666664,-40.67741935483871,21.583333333333332
2020-05-21,-41.333333333333336,-25.857142857142858,-42.6,-63.666666666666664,-41.70967741935484,22.916666666666668
2020-05-22,-42.34782608695652,-25.73913043478261,-43.32,-65.25,-39.53333333333333,22.0
2020-05-23,-44.91304347826087,-26.041666666666668,-46.53846153846154,-65.33333333333333,-26.933333333333334,17.333333333333332
2020-05-24,-54.34782608695652,-34.19047619047619,-54.592592592592595,-72.75,-25.785714285714285,16.5
2020-05-25,-33.59090909090909,-19.0,-37.52,-60.333333333333336,-36.483870967741936,19.333333333333332
2020-05-26,-37.142857142857146,-24.428571428571427,-38.68,-60.833333333333336,-36.03225806451613,18.75
2020-05-27,-38.0,-26.272727272727273,-40.04,-60.0,-37.29032258064516,19.615384615384617
2020-05-28,-39.45454545454545,-27.19047619047619,-42.48,-62.333333333333336,-38.38709677419355,20.75
2020-05-29,-37.95652173913044,-22.681818181818183,-39.96,-62.166666666666664,-35.86666666666667,19.846153846153847
2020-05-30,-35.375,-16.375,-39.38461538461539,-60.333333333333336,-19.866666666666667,14.083333333333334
2020-05-31,-39.95652173913044,-16.05,-42.84615384615385,-63.416666666666664,-12.11111111111111,11.9
2020-06-01,-33.714285714285715,-20.181818181818183,-36.56,-60.416666666666664,-33.38709677419355,16.53846153846154
2020-06-02,-36.285714285714285,-23.40909090909091,-37.72,-57.333333333333336,-32.774193548387096,17.076923076923077
2020-06-03,-35.81818181818182,-23.59090909090909,-36.12,-55.25,-32.70967741935484,17.76923076923077
2020-06-04,-36.38095238095238,-22.0,-36.0,-54.0,-32.74193548387097,18.23076923076923
2020-06-05,-37.391304347826086,-22.136363636363637,-37.6,-56.083333333333336,-31.466666666666665,18.153846153846153
2020-06-06,-39.708333333333336,-20.541666666666668,-41.28,-56.25,-18.0,14.25
2020-06-07,-50.26086956521739,-29.2,-48.7037037037037,-64.41666666666667,-17.071428571428573,14.7
2020-06-08,-31.045454545454547,-16.428571428571427,-35.32,-51.666666666666664,-29.06451612903226,15.307692307692308
2020-06-09,-33.59090909090909,-19.61904761904762,-34.96,-49.833333333333336,-29.93548387096774,15.538461538461538
2020-06-10,-32.18181818181818,-20.181818181818183,-34.458333333333336,-50.333333333333336,-31.032258064516128,15.923076923076923
2020-06-11,-43.5,-29.38095238095238,-35.48,-62.833333333333336,-49.096774193548384,24.416666666666668
2020-06-12,-33.45454545454545,-18.454545454545453,-36.2,-52.666666666666664,-31.2,17.307692307692307
2020-06-13,-36.041666666666664,-18.333333333333332,-38.42307692307692,-54.916666666666664,-15.833333333333334,13.833333333333334
2020-06-14,-42.916666666666664,-21.2,-42.22222222222222,-57.583333333333336,-11.444444444444445,12.0
2020-06-15,-27.09090909090909,-12.095238095238095,-32.2,-48.25,-28.0,13.692307692307692
2020-06-16,-27.714285714285715,-13.2,-30.96,-45.666666666666664,-28.129032258064516,14.23076923076923
2020-06-17,-30.238095238095237,-16.8,-32.30434782608695,-47.916666666666664,-30.70967741935484,15.307692307692308
2020-06-18,-32.77272727272727,-20.428571428571427,-35.24,-51.083333333333336,-31.741935483870968,16.0
2020-06-19,-33.54545454545455,-19.40909090909091,-34.32,-53.75,-29.933333333333334,15.076923076923077
2020-06-20,-35.04347826086956,-18.708333333333332,-37.0,-54.583333333333336,-14.366666666666667,12.916666666666666
2020-06-21,-41.625,-22.1,-40.03846153846154,-59.0,-11.518518518518519,11.5
2020-06-22,-30.363636363636363,-17.952380952380953,-33.76,-49.0,-29.870967741935484,14.692307692307692
2020-06-23,-29.0,-15.263157894736842,-32.48,-48.18181818181818,-29.967741935483872,14.923076923076923
2020-06-24,-28.818181818181817,-14.318181818181818,-31.217391304347824,-47.166666666666664,-29.677419354838708,14.923076923076923
2020-06-25,-29.428571428571427,-14.333333333333334,-30.291666666666668,-50.0,-30.129032258064516,15.23076923076923
2020-06-26,-31.608695652173914,-16.5,-33.2,-50.75,-29.366666666666667,15.384615384615385
2020-06-27,-32.21739130434783,-14.695652173913043,-34.6,-51.333333333333336,-15.7,12.333333333333334
2020-06-28,-35.333333333333336,-15.35,-33.03846153846154,-51.25,-11.333333333333334,10.1
2020-06-29,-25.318181818181817,-13.0,-29.32,-46.666666666666664,-28.741935483870968,12.923076923076923
2020-06-30,-22.55,-4.684210526315789,-25.2,-42.54545454545455,-28.129032258064516,12.384615384615385
2020-07-01,-24.38095238095238,-8.65,-25.166666666666668,-40.333333333333336,-29.806451612903224,12.846153846153847
2020-07-02,-24.238095238095237,-7.7,-25.125,-41.81818181818182,-30.612903225806452,14.0
2020-07-03,-23.90909090909091,-7.65,-24.44,-41.0,-28.9,13.846153846153847
