date,retail_and_recreation_percent_change_from_baseline_Peru,grocery_and_pharmacy_percent_change_from_baseline_Peru,parks_percent_change_from_baseline_Peru,transit_stations_percent_change_from_baseline_Peru,workplaces_percent_change_from_baseline_Peru,residential_percent_change_from_baseline_Peru
2021-02-14,-59.1,-49.65079365079365,-54.74809160305343,-71.04597701149426,-35.36440677966102,19.983333333333334
2021-02-15,-40.924050632911396,-21.737704918032787,-39.404580152671755,-57.8021978021978,-27.293650793650794,16.602739726027398
2021-02-16,-40.7625,-21.983606557377048,-39.43939393939394,-55.38461538461539,-28.328,17.095890410958905
2021-02-17,-41.3125,-22.19672131147541,-39.13533834586466,-56.69565217391305,-26.728,17.56756756756757
2021-02-18,-41.01204819277108,-20.229508196721312,-38.984848484848484,-56.04347826086956,-26.38095238095238,17.534246575342465
2021-02-19,-41.0,-18.59016393442623,-39.21212121212121,-56.65217391304348,-24.516129032258064,17.54794520547945
2021-02-20,-41.22352941176471,-16.278688524590162,-37.40298507462686,-56.77173913043478,-19.39316239316239,14.507462686567164
2021-02-21,-64.0,-53.142857142857146,-58.17293233082707,-73.42045454545455,-38.09166666666667,21.89830508474576
2021-02-22,-38.6219512195122,-16.295081967213115,-36.656488549618324,-55.54945054945055,-23.768,16.246575342465754
2021-02-23,-37.5875,-17.081967213114755,-36.04545454545455,-53.89010989010989,-24.864,16.22972972972973
2021-02-24,-37.975,-17.0327868852459,-36.57142857142857,-55.02173913043478,-23.656,16.54054054054054
2021-02-25,-37.629629629629626,-15.344262295081966,-36.06818181818182,-53.70652173913044,-23.872,16.65753424657534
2021-02-26,-38.36585365853659,-15.80327868852459,-36.96212121212121,-55.72826086956522,-21.451612903225808,16.616438356164384
2021-02-27,-36.535714285714285,-11.327868852459016,-33.45864661654135,-53.858695652173914,-15.827586206896552,12.895522388059701
2021-02-28,-60.353658536585364,-48.58730158730159,-54.3984962406015,-70.53932584269663,-33.94915254237288,20.203389830508474
2021-03-01,-27.48780487804878,-5.80327868852459,-30.353846153846153,-45.10989010989011,-19.642276422764226,12.837837837837839
2021-03-02,-28.580246913580247,-8.59016393442623,-31.64885496183206,-43.75824175824176,-21.696,13.364864864864865
2021-03-03,-30.265060240963855,-11.114754098360656,-31.473684210526315,-44.934065934065934,-21.126984126984127,13.878378378378379
2021-03-04,-30.337349397590362,-9.524590163934427,-31.53435114503817,-44.72826086956522,-21.496,13.864864864864865
2021-03-05,-30.216867469879517,-9.344262295081966,-32.52272727272727,-45.45652173913044,-19.45967741935484,14.18918918918919
2021-03-06,-27.240963855421686,-3.9672131147540983,-27.030075187969924,-43.28260869565217,-14.222222222222221,9.823529411764707
2021-03-07,-64.0609756097561,-60.41935483870968,-57.954887218045116,-70.7816091954023,-39.3448275862069,22.694915254237287
2021-03-08,-23.759036144578314,-5.540983606557377,-28.53488372093023,-42.967032967032964,-19.0,12.135135135135135
2021-03-09,-30.123456790123456,-11.049180327868852,-32.56060606060606,-44.01086956521739,-22.224,13.972972972972974
2021-03-10,-30.74074074074074,-11.0,-32.05263157894737,-45.505494505494504,-20.264,14.35135135135135
2021-03-11,-30.50602409638554,-9.836065573770492,-31.435114503816795,-43.630434782608695,-20.704,14.162162162162161
2021-03-12,-31.285714285714285,-9.852459016393443,-32.152671755725194,-43.83695652173913,-18.766129032258064,14.45945945945946
2021-03-13,-26.357142857142858,-2.80327868852459,-26.2406015037594,-41.56043956043956,-12.843478260869565,9.558823529411764
2021-03-14,-60.83132530120482,-55.26984126984127,-54.3609022556391,-67.25,-36.15,21.0
2021-03-15,-28.036585365853657,-5.540983606557377,-29.307692307692307,-44.065934065934066,-17.83606557377049,13.27027027027027
2021-03-16,-33.18292682926829,-12.819672131147541,-35.01526717557252,-54.67032967032967,-21.77777777777778,16.256756756756758
2021-03-17,-33.70886075949367,-13.311475409836065,-34.609022556390975,-56.550561797752806,-19.182539682539684,16.35135135135135
2021-03-18,-36.28915662650602,-14.442622950819672,-36.32575757575758,-58.258426966292134,-20.016,17.73972602739726
2021-03-19,-34.22222222222222,-12.508196721311476,-34.91729323308271,-55.644444444444446,-17.170731707317074,16.54794520547945
2021-03-20,-27.28235294117647,-2.901639344262295,-26.984962406015036,-46.97802197802198,-9.552631578947368,10.691176470588236
2021-03-21,-61.78823529411765,-55.82539682539682,-54.015151515151516,-66.52222222222223,-33.186440677966104,21.83050847457627
2021-03-22,-27.843373493975903,-5.262295081967213,-29.43076923076923,-41.32967032967033,-16.131147540983605,14.121621621621621
2021-03-23,-27.97530864197531,-6.721311475409836,-29.412213740458014,-40.505494505494504,-18.0,14.18918918918919
2021-03-24,-27.40740740740741,-6.622950819672131,-28.872180451127818,-42.15555555555556,-17.216,14.85135135135135
2021-03-25,-27.97590361445783,-5.573770491803279,-28.83206106870229,-41.16304347826087,-17.176,14.824324324324325
2021-03-26,-29.25,-7.131147540983607,-29.51145038167939,-42.369565217391305,-15.959677419354838,15.283783783783784
2021-03-27,-24.265060240963855,0.7741935483870968,-22.7593984962406,-39.34065934065934,-8.640350877192983,9.882352941176471
2021-03-28,-58.30232558139535,-52.70967741935484,-48.37593984962406,-61.92134831460674,-28.810344827586206,20.19672131147541
2021-03-29,-28.329268292682926,-5.459016393442623,-30.23076923076923,-41.582417582417584,-15.795081967213115,14.608108108108109
2021-03-30,-26.11111111111111,-2.8360655737704916,-27.83969465648855,-37.1,-16.846774193548388,14.067567567567568
2021-03-31,-17.317073170731707,14.131147540983607,-19.50381679389313,-24.711111111111112,-16.443548387096776,10.364864864864865
2021-04-01,-59.05,-32.377049180327866,-50.708955223880594,-69.5505617977528,-52.330708661417326,27.65753424657534
2021-04-02,-70.0,-50.96774193548387,-59.46268656716418,-81.0813953488372,-60.14728682170543,34.0
2021-04-03,-57.66265060240964,-32.62903225806452,-50.014925373134325,-74.54651162790698,-36.60504201680672,24.17910447761194
2021-04-04,-66.57142857142857,-56.93650793650794,-56.223880597014926,-66.12359550561797,-35.33050847457627,22.661016949152543
2021-04-05,-22.073170731707318,5.081967213114754,-24.24031007751938,-36.10989010989011,-14.064516129032258,12.675675675675675
2021-04-06,-26.814814814814813,-3.1311475409836067,-27.93846153846154,-38.48351648351648,-16.846774193548388,14.405405405405405
2021-04-07,-28.78048780487805,-5.950819672131147,-28.901515151515152,-41.19565217391305,-17.620967741935484,14.986486486486486
2021-04-08,-27.975609756097562,-5.278688524590164,-28.96153846153846,-39.62637362637363,-16.991869918699187,15.121621621621621
2021-04-09,-30.843373493975903,-8.147540983606557,-31.427480916030536,-42.02173913043478,-16.4390243902439,15.876712328767123
2021-04-10,-28.623529411764707,-4.442622950819672,-28.57894736842105,-40.71739130434783,-10.39655172413793,11.823529411764707
2021-04-11,-35.26190476190476,-14.870967741935484,-15.263157894736842,-46.59550561797753,-16.73394495412844,10.32258064516129
2021-04-12,-29.121951219512194,-7.918032786885246,-31.315384615384616,-41.494505494505496,-17.252032520325205,15.378378378378379
2021-04-13,-28.382716049382715,-7.213114754098361,-30.546153846153846,-40.27472527472528,-16.870967741935484,15.608108108108109
2021-04-14,-28.65432098765432,-8.147540983606557,-31.257575757575758,-42.64835164835165,-17.368,16.013513513513512
2021-04-15,-27.71604938271605,-4.918032786885246,-29.931297709923665,-41.395604395604394,-15.483870967741936,15.81081081081081
2021-04-16,-30.301204819277107,-7.622950819672131,-32.25190839694657,-43.76086956521739,-14.926829268292684,16.47945205479452
2021-04-17,-25.071428571428573,-1.2741935483870968,-26.075757575757574,-40.38461538461539,-8.464912280701755,11.75
2021-04-18,-53.345238095238095,-43.20967741935484,-46.42857142857143,-57.741573033707866,-25.582608695652173,19.266666666666666
2021-04-19,-28.072289156626507,-5.311475409836065,-29.348837209302324,-39.86813186813187,-14.241935483870968,15.716216216216216
2021-04-20,-28.49397590361446,-7.409836065573771,-29.784615384615385,-41.032967032967036,-15.688,15.986486486486486
2021-04-21,-29.37037037037037,-9.59016393442623,-30.257575757575758,-42.57608695652174,-16.2,16.216216216216218
2021-04-22,-29.634146341463413,-7.672131147540983,-30.098484848484848,-42.08695652173913,-15.168,16.824324324324323
2021-04-23,-30.40963855421687,-7.327868852459017,-30.84732824427481,-43.108695652173914,-13.308943089430894,16.904109589041095
2021-04-24,-24.428571428571427,0.14754098360655737,-23.593984962406015,-39.9010989010989,-6.913043478260869,11.705882352941176
