date,retail_and_recreation_percent_change_from_baseline_Colombia,grocery_and_pharmacy_percent_change_from_baseline_Colombia,parks_percent_change_from_baseline_Colombia,transit_stations_percent_change_from_baseline_Colombia,workplaces_percent_change_from_baseline_Colombia,residential_percent_change_from_baseline_Colombia
2020-09-04,-40.56363636363636,-16.04,-34.92537313432836,-50.689655172413794,-23.355555555555554,15.504587155963304
2020-09-05,-39.622950819672134,-14.056603773584905,-32.333333333333336,-47.407407407407405,-12.405063291139241,11.12
2020-09-06,-47.68421052631579,-25.41176470588235,-37.78947368421053,-53.7037037037037,-12.666666666666666,10.26923076923077
2020-09-07,-38.96296296296296,-18.53061224489796,-35.51724137931034,-49.38461538461539,-27.23913043478261,14.508928571428571
2020-09-08,-39.629629629629626,-18.52,-35.46031746031746,-49.42307692307692,-27.695652173913043,14.945945945945946
2020-09-09,-39.45454545454545,-19.081632653061224,-34.016666666666666,-49.888888888888886,-27.27659574468085,14.209090909090909
2020-09-10,-38.054545454545455,-18.04,-32.45,-49.46153846153846,-28.126315789473683,14.645454545454545
2020-09-11,-36.46153846153846,-18.685185185185187,-28.786666666666665,-41.45238095238095,-15.511864406779662,15.305555555555555
2020-09-12,-36.98076923076923,-16.904347826086955,-26.616613418530353,-37.91358024691358,-8.345864661654135,11.0
2020-09-13,-44.054054054054056,-28.285714285714285,-30.56697819314642,-41.59493670886076,-12.126086956521739,10.153846153846153
2020-09-14,-32.74418604651163,-17.93577981651376,-26.919117647058822,-41.45569620253165,-15.06418918918919,13.927927927927929
2020-09-15,-31.916666666666668,-14.821782178217822,-25.97426470588235,-41.12820512820513,-15.76,14.446428571428571
2020-09-16,-32.68888888888889,-15.76923076923077,-26.720588235294116,-40.721518987341774,-17.593333333333334,14.18018018018018
2020-09-17,-31.762962962962963,-14.45631067961165,-26.20567375886525,-38.91025641025641,-19.072607260726073,14.441441441441441
2020-09-18,-33.70629370629371,-13.05607476635514,-27.7248322147651,-40.426829268292686,-12.25,14.422018348623853
2020-09-19,-31.258064516129032,-10.36283185840708,-21.942122186495176,-35.04938271604938,-5.643939393939394,9.696078431372548
2020-09-20,-40.33108108108108,-24.106796116504853,-28.26791277258567,-40.473684210526315,-8.765486725663717,8.64935064935065
2020-09-21,-34.969465648854964,-17.785046728971963,-27.044117647058822,-40.84615384615385,-17.66778523489933,14.636363636363637
2020-09-22,-35.59848484848485,-13.705882352941176,-25.175182481751825,-39.76543209876543,-17.368770764119603,14.153153153153154
2020-09-23,-38.6412213740458,-15.679611650485437,-27.490974729241877,-42.1625,-18.023255813953487,14.446043165467627
2020-09-24,-37.830882352941174,-15.176470588235293,-27.320422535211268,-41.9375,-19.97029702970297,14.65
2020-09-25,-37.73426573426573,-12.779816513761467,-27.7979797979798,-39.8,-12.310580204778157,14.397058823529411
2020-09-26,-37.38461538461539,-10.482456140350877,-24.265372168284788,-35.825,-5.357414448669202,10.625
2020-09-27,-43.61073825503356,-22.721153846153847,-29.031152647975077,-36.75949367088607,-10.347826086956522,9.785046728971963
2020-09-28,-36.375,-12.0,-26.641025641025642,-39.063291139240505,-15.56418918918919,13.832116788321168
2020-09-29,-37.40298507462686,-11.57843137254902,-27.307971014492754,-38.9390243902439,-16.64784053156146,13.83453237410072
2020-09-30,-35.12592592592593,-6.504761904761905,-27.11231884057971,-40.54430379746835,-18.302325581395348,12.290780141843971
2020-10-01,-33.22962962962963,-0.27450980392156865,-24.52127659574468,-37.876543209876544,-17.023102310231025,11.049295774647888
2020-10-02,-32.978873239436616,-0.5648148148148148,-26.64527027027027,-36.80722891566265,-11.515463917525773,11.347826086956522
2020-10-03,-33.4640522875817,-2.913793103448276,-25.10355987055016,-32.65432098765432,-6.670411985018727,8.21875
2020-10-04,-38.793103448275865,-12.607843137254902,-26.67601246105919,-33.76923076923077,-10.238095238095237,7.785046728971962
2020-10-05,-31.209302325581394,-2.7788461538461537,-23.973684210526315,-34.701298701298704,-16.622073578595316,10.345323741007194
2020-10-06,-30.5,-3.7745098039215685,-22.84870848708487,-34.48148148148148,-16.45847176079734,10.503597122302159
2020-10-07,-31.32330827067669,-6.826923076923077,-24.61090909090909,-35.10126582278481,-15.336666666666666,11.02836879432624
2020-10-08,-30.259541984732824,-5.300970873786408,-23.857142857142858,-31.71794871794872,-16.278145695364238,11.65
2020-10-09,-31.95104895104895,-5.841121495327103,-24.461016949152544,-32.1219512195122,-10.45486111111111,11.72992700729927
2020-10-10,-29.47019867549669,-4.052631578947368,-15.549019607843137,-23.8875,-3.3740458015267176,8.015625
2020-10-11,-30.86394557823129,-12.581632653061224,-9.624595469255663,-26.394736842105264,-6.458149779735683,6.850467289719626
2020-10-12,-41.22950819672131,-25.990291262135923,-19.31764705882353,-37.43421052631579,-48.60197368421053,16.043795620437955
2020-10-13,-32.35606060606061,-8.009803921568627,-27.93065693430657,-32.256410256410255,-14.04,11.863309352517986
2020-10-14,-31.955555555555556,-6.836538461538462,-28.097472924187727,-33.50632911392405,-13.94314381270903,12.678571428571429
2020-10-15,-29.886363636363637,-1.411764705882353,-24.920289855072465,-32.851851851851855,-14.89,12.628571428571428
2020-10-16,-32.03472222222222,-1.7476635514018692,-26.37037037037037,-32.73170731707317,-8.796551724137931,12.905109489051094
2020-10-17,-31.90909090909091,-2.0086206896551726,-25.848387096774193,-29.567901234567902,-2.5019011406844105,9.5234375
2020-10-18,-37.82312925170068,-11.980582524271844,-27.77987421383648,-30.189873417721518,-5.124444444444444,8.703703703703704
2020-10-19,-33.69465648854962,-6.087378640776699,-29.797047970479706,-33.37662337662338,-13.821548821548822,12.941605839416058
2020-10-20,-32.25954198473283,-7.125,-27.532608695652176,-34.9875,-14.116666666666667,13.086330935251798
2020-10-21,-32.28787878787879,-6.876190476190477,-25.703296703296704,-36.74074074074074,-13.436241610738255,12.709219858156029
2020-10-22,-30.91044776119403,-5.784313725490196,-24.152727272727272,-37.037974683544306,-14.383333333333333,12.457142857142857
2020-10-23,-33.44137931034483,-7.231481481481482,-26.71864406779661,-36.58536585365854,-8.439862542955327,12.81021897810219
2020-10-24,-32.44444444444444,-4.991304347826087,-23.618122977346278,-33.73170731707317,-0.8615384615384616,9.359375
2020-10-25,-35.772413793103446,-12.40952380952381,-23.180064308681672,-32.48101265822785,-3.0044444444444443,8.055555555555555
2020-10-26,-31.296875,-4.552380952380952,-24.933085501858734,-36.03896103896104,-11.707070707070708,11.892086330935252
2020-10-27,-32.21969696969697,-6.407766990291262,-27.04,-36.142857142857146,-12.692307692307692,12.410071942446043
2020-10-28,-31.58955223880597,-6.509433962264151,-28.92086330935252,-34.675,-12.060402684563758,12.228571428571428
2020-10-29,-29.50381679389313,-3.41,-28.664310954063605,-32.53846153846154,-13.02,11.95
2020-10-30,-31.704225352112676,-0.1588785046728972,-30.08108108108108,-32.506024096385545,-6.875,11.992700729927007
2020-10-31,-35.47096774193548,-1.0854700854700854,-29.92233009708738,-31.17948717948718,-3.0919540229885056,10.296875
2020-11-01,-37.00694444444444,-9.811881188118813,-26.569620253164558,-35.77922077922078,-5.852678571428571,9.471698113207546
2020-11-02,-38.912,-17.561904761904763,-24.186567164179106,-40.6578947368421,-46.12582781456954,17.525547445255473
2020-11-03,-26.16923076923077,3.762376237623762,-24.633333333333333,-29.9,-10.213333333333333,10.428571428571429
2020-11-04,-27.863636363636363,-1.6057692307692308,-27.665467625899282,-33.175,-11.31081081081081,11.53191489361702
2020-11-05,-27.68421052631579,-1.4660194174757282,-27.52482269503546,-32.36708860759494,-12.69,11.734265734265735
2020-11-06,-30.454545454545453,-4.201834862385321,-30.87878787878788,-33.18072289156626,-6.736111111111111,12.18978102189781
2020-11-07,-28.94736842105263,-3.617391304347826,-28.581993569131832,-27.865853658536587,1.2248062015503876,8.771653543307087
2020-11-08,-34.25,-11.669811320754716,-28.588607594936708,-30.8125,-0.665158371040724,8.560747663551401
2020-11-09,-30.6875,-7.257142857142857,-31.978339350180505,-33.06578947368421,-11.10472972972973,12.207142857142857
2020-11-10,-29.99230769230769,-7.116504854368932,-31.307971014492754,-33.77922077922078,-11.533557046979865,12.20863309352518
2020-11-11,-29.736842105263158,-6.778846153846154,-30.26690391459075,-32.75949367088607,-11.488135593220338,11.894366197183098
2020-11-12,-27.65909090909091,-4.394230769230769,-29.010526315789473,-31.23076923076923,-12.102649006622517,11.727272727272727
2020-11-13,-30.739436619718308,-5.761467889908257,-32.69152542372881,-30.35,-6.709342560553633,12.05072463768116
2020-11-14,-24.589403973509935,2.3684210526315788,-21.474025974025974,-19.382716049382715,-0.8538461538461538,7.953125
2020-11-15,-25.047619047619047,-2.436893203883495,-14.519480519480519,-24.641025641025642,0.7339449541284404,6.706422018348624
2020-11-16,-35.34920634920635,-19.169811320754718,-24.928301886792454,-34.48684210526316,-45.652317880794705,16.079710144927535
2020-11-17,-28.206106870229007,-3.3173076923076925,-29.829710144927535,-27.766233766233768,-10.61,10.50354609929078
2020-11-18,-26.06766917293233,-0.638095238095238,-27.496402877697843,-26.544303797468356,-9.85135135135135,10.901408450704226
2020-11-19,-25.172932330827066,-1.5436893203883495,-27.345195729537366,-27.911392405063292,-10.916666666666666,11.1875
2020-11-20,-26.5,-0.32407407407407407,-29.48813559322034,-28.109756097560975,-4.266666666666667,11.108695652173912
2020-11-21,-20.98051948051948,6.754385964912281,-22.71474358974359,-24.463414634146343,5.743190661478599,6.734375
2020-11-22,-27.743055555555557,-4.457142857142857,-24.284345047923324,-25.860759493670887,4.009174311926605,7.256880733944954
2020-11-23,-25.2015503875969,0.18095238095238095,-26.952029520295202,-27.116883116883116,-7.941780821917808,10.354609929078014
2020-11-24,-25.83206106870229,-2.378640776699029,-27.71897810218978,-26.428571428571427,-8.668896321070234,10.719424460431656
2020-11-25,-22.962406015037594,1.6213592233009708,-23.765567765567766,-27.962025316455698,-7.735593220338983,10.098591549295774
2020-11-26,-21.253846153846155,3.5,-23.14336917562724,-26.705128205128204,-8.26936026936027,9.743055555555555
2020-11-27,-22.923076923076923,4.166666666666667,-29.107744107744107,-28.963414634146343,-3.265734265734266,9.733812949640289
2020-11-28,-22.454545454545453,4.921052631578948,-24.077170418006432,-20.135802469135804,6.0926640926640925,6.390625
2020-11-29,-22.541095890410958,4.310679611650485,-21.44551282051282,-22.371794871794872,7.305555555555555,5.834862385321101
2020-11-30,-18.8203125,10.152380952380952,-21.57037037037037,-24.092105263157894,-5.439862542955327,8.871428571428572
2020-12-01,-16.684615384615384,13.3,-19.54074074074074,-22.473684210526315,-5.926421404682274,8.58041958041958
2020-12-02,-17.223880597014926,12.737864077669903,-19.802197802197803,-24.26923076923077,-5.180272108843537,8.72027972027972
2020-12-03,-15.34351145038168,13.25242718446602,-17.8731884057971,-21.064935064935064,-6.1313131313131315,8.520833333333334
2020-12-04,-17.739436619718308,12.289719626168225,-19.976109215017065,-21.26829268292683,0.49645390070921985,7.992857142857143
2020-12-05,-16.02013422818792,12.371681415929203,-15.75,-15.345679012345679,8.948818897637794,4.609375
2020-12-06,-18.30821917808219,8.257425742574258,-13.896774193548387,-22.46153846153846,11.440758293838863,4.779816513761468
2020-12-07,-9.531746031746032,23.901960784313726,-0.8901960784313725,-19.546666666666667,-5.0,5.546099290780142
2020-12-08,-31.338582677165356,-12.538461538461538,-15.561068702290076,-37.63291139240506,-38.51324503311258,15.173913043478262
2020-12-09,-21.295454545454547,6.0,-19.321033210332104,-21.7012987012987,-5.894915254237288,7.573426573426573
2020-12-10,-20.06153846153846,7.747572815533981,-17.214022140221402,-21.506666666666668,-6.923333333333333,8.048951048951048
2020-12-11,-22.479166666666668,6.935185185185185,-19.393103448275863,-24.333333333333332,-0.1413427561837456,8.623188405797102
2020-12-12,-22.571428571428573,6.547826086956522,-13.89935064935065,-18.5125,9.35546875,5.640625
2020-12-13,-23.534246575342465,1.8431372549019607,-13.36569579288026,-16.8,12.422535211267606,5.376146788990826
2020-12-14,-19.992125984251967,7.728155339805825,-17.766037735849057,-18.60810810810811,-5.164383561643835,8.056737588652481
2020-12-15,-16.78125,12.247524752475247,-15.447761194029852,-20.051948051948052,-5.472972972972973,7.75177304964539
2020-12-16,-16.244274809160306,15.40952380952381,-13.18939393939394,-18.558441558441558,-3.996598639455782,7.112676056338028
2020-12-17,-15.815384615384616,14.891089108910892,-14.170909090909092,-18.605263157894736,-6.070469798657718,7.584507042253521
2020-12-18,-18.75177304964539,12.770642201834862,-16.49828178694158,-21.974683544303797,0.4842105263157895,7.539568345323741
2020-12-19,-18.19078947368421,14.640350877192983,-11.993421052631579,-13.025316455696203,11.090196078431372,4.15625
2020-12-20,-18.04794520547945,13.411764705882353,-12.315960912052118,-12.177215189873417,18.071428571428573,3.908256880733945
2020-12-21,-8.766129032258064,23.169811320754718,-9.417624521072797,-14.573333333333334,-3.3344827586206898,6.205673758865248
2020-12-22,-6.7637795275590555,27.46,-7.325670498084291,-10.520547945205479,-4.761744966442953,5.722222222222222
2020-12-23,-1.330827067669173,40.78217821782178,0.45,-8.027027027027026,-3.3529411764705883,4.138888888888889
2020-12-24,-5.265151515151516,52.75757575757576,7.94758064516129,-17.946666666666665,-12.623333333333333,5.0
2020-12-25,-61.333333333333336,-52.61946902654867,-37.742160278745644,-57.9375,-57.87290969899666,21.637037037037036
2020-12-26,-30.263157894736842,-2.3130434782608695,-17.102649006622517,-27.180722891566266,-9.342105263157896,9.359375
2020-12-27,-32.02758620689655,-7.228571428571429,-17.570032573289904,-19.924050632911392,7.158139534883721,7.814814814814815
2020-12-28,-15.587301587301587,14.4,-10.4901185770751,-17.24,-9.135135135135135,9.178571428571429
2020-12-29,-11.0,21.3,-4.1400778210116735,-14.18918918918919,-9.39261744966443,7.922535211267606
2020-12-30,-2.78125,37.98,6.80327868852459,-12.907894736842104,-8.095890410958905,5.951048951048951
2020-12-31,-7.924242424242424,50.69387755102041,17.35217391304348,-22.39189189189189,-19.72,6.413793103448276
2021-01-01,-66.51851851851852,-59.08849557522124,-31.669039145907472,-59.324675324675326,-62.0328947368421,21.61764705882353
2021-01-02,-44.33108108108108,-22.07017543859649,-16.36092715231788,-35.09756097560975,-31.128113879003557,15.118110236220472
2021-01-03,-33.28472222222222,-11.740384615384615,-8.572815533980583,-11.666666666666666,-6.20627802690583,6.787037037037037
2021-01-04,-19.344,11.865384615384615,-5.0843373493975905,-15.554054054054054,-14.426174496644295,9.992857142857142
2021-01-05,-20.9609375,8.359223300970873,-8.424603174603174,-17.960526315789473,-15.146666666666667,11.107913669064748
2021-01-06,-21.984962406015036,5.572815533980583,-9.740157480314961,-22.7375,-14.658862876254181,11.205673758865249
2021-01-07,-21.515151515151516,7.446601941747573,-12.0,-18.8,-15.66,11.267605633802816
2021-01-08,-31.31654676258993,1.8037383177570094,-22.22758620689655,-27.83132530120482,-12.587628865979381,13.615942028985508
2021-01-09,-47.54362416107382,-24.146551724137932,-34.89677419354839,-36.52439024390244,-13.357414448669202,16.46825396825397
2021-01-10,-53.95070422535211,-34.764150943396224,-36.87859424920128,-39.01282051282051,-13.894736842105264,14.689320388349515
2021-01-11,-55.824,-39.018691588785046,-38.885185185185186,-42.93589743589744,-50.14473684210526,23.0
2021-01-12,-22.374045801526716,4.366336633663367,-19.104089219330856,-22.571428571428573,-10.766666666666667,8.801418439716311
2021-01-13,-27.18796992481203,-1.6153846153846154,-25.291970802919707,-26.858974358974358,-14.363333333333333,8.556338028169014
2021-01-14,-29.090225563909776,-5.576923076923077,-28.471223021582734,-27.961038961038962,-18.70957095709571,9.049295774647888
2021-01-15,-32.53191489361702,-5.972477064220183,-31.301324503311257,-31.938271604938272,-15.474402730375427,9.884057971014492
2021-01-16,-42.35099337748344,-16.904347826086955,-37.29936305732484,-35.01176470588236,-13.446096654275093,11.275590551181102
2021-01-17,-52.793103448275865,-33.22641509433962,-41.39252336448598,-38.95,-17.064655172413794,11.50943396226415
2021-01-18,-29.992125984251967,-4.953271028037383,-30.05128205128205,-28.56756756756757,-16.546979865771814,9.135714285714286
2021-01-19,-31.106870229007633,-7.174757281553398,-30.689530685920577,-29.30263157894737,-17.760797342192692,9.707142857142857
2021-01-20,-30.924812030075188,-7.566037735849057,-29.7992700729927,-29.924050632911392,-16.983388704318937,10.0
2021-01-21,-30.651515151515152,-7.653846153846154,-30.514285714285716,-30.342105263157894,-17.620462046204622,10.297872340425531
2021-01-22,-33.78321678321678,-8.94392523364486,-33.98989898989899,-31.892857142857142,-11.525597269624573,10.86231884057971
2021-01-23,-38.78064516129032,-16.213675213675213,-34.7275641025641,-31.569767441860463,-9.19548872180451,10.365079365079366
2021-01-24,-48.364285714285714,-34.632075471698116,-38.80769230769231,-36.5375,-15.591489361702127,10.320754716981131
2021-01-25,-30.875,-6.669811320754717,-30.204379562043794,-28.653333333333332,-13.79391891891892,9.814285714285715
2021-01-26,-30.796992481203006,-7.048543689320389,-30.722627737226276,-29.86842105263158,-15.05,10.207142857142857
2021-01-27,-29.604477611940297,-5.747572815533981,-29.71014492753623,-30.153846153846153,-13.823333333333334,10.02112676056338
2021-01-28,-28.529850746268657,-3.6634615384615383,-28.323843416370106,-27.31168831168831,-14.865131578947368,9.80281690140845
2021-01-29,-28.593103448275862,-0.42592592592592593,-27.31058020477816,-28.566265060240966,-8.744827586206897,8.789855072463768
2021-01-30,-26.23489932885906,5.850877192982456,-22.003246753246753,-23.734939759036145,-1.1187739463601531,4.875
2021-01-31,-30.783216783216783,-2.8461538461538463,-22.84193548387097,-23.1375,-3.03125,4.275229357798165
2021-02-01,-26.37795275590551,5.962616822429907,-25.18421052631579,-26.487179487179485,-12.405405405405405,7.51063829787234
2021-02-02,-24.79230769230769,5.359223300970874,-24.202952029520294,-26.246753246753247,-13.009966777408637,7.767605633802817
2021-02-03,-26.738805970149254,0.34615384615384615,-27.051660516605168,-28.91025641025641,-13.56810631229236,8.070422535211268
