date,retail_and_recreation_percent_change_from_baseline_Uruguay,grocery_and_pharmacy_percent_change_from_baseline_Uruguay,parks_percent_change_from_baseline_Uruguay,transit_stations_percent_change_from_baseline_Uruguay,workplaces_percent_change_from_baseline_Uruguay,residential_percent_change_from_baseline_Uruguay
2020-07-05,-29.666666666666668,-10.285714285714286,-49.714285714285715,-44.64705882352941,-8.6,12.666666666666666
2020-07-06,-11.777777777777779,0.4,-40.666666666666664,-26.1875,5.761904761904762,6.625
2020-07-07,-22.210526315789473,-6.4,-49.57142857142857,-28.6875,3.0,7.666666666666667
2020-07-08,-22.75,-8.68421052631579,-49.23809523809524,-31.5625,1.3333333333333333,8.866666666666667
2020-07-09,-19.68421052631579,-6.65,-42.19047619047619,-24.941176470588236,3.8095238095238093,7.4375
2020-07-10,-17.25,-2.55,-43.57142857142857,-26.375,4.809523809523809,7.333333333333333
2020-07-11,-16.22222222222222,5.777777777777778,-41.333333333333336,-27.4375,-3.0952380952380953,8.666666666666666
2020-07-12,-32.22222222222222,-11.142857142857142,-54.095238095238095,-44.6875,-2.8,11.333333333333334
2020-07-13,-20.72222222222222,-9.55,-46.666666666666664,-28.5,5.0476190476190474,7.875
2020-07-14,-26.789473684210527,-12.9,-47.42857142857143,-31.823529411764707,4.571428571428571,8.266666666666667
2020-07-15,-23.210526315789473,-8.55,-43.904761904761905,-29.27777777777778,3.380952380952381,8.2
2020-07-16,-29.4,-15.2,-51.095238095238095,-31.529411764705884,2.3333333333333335,8.733333333333333
2020-07-17,-24.75,-5.95,-46.857142857142854,-37.166666666666664,3.238095238095238,8.133333333333333
2020-07-18,-39.25,-14.947368421052632,-41.42857142857143,-46.9375,-27.666666666666668,13.333333333333334
2020-07-19,-22.555555555555557,-10.571428571428571,-28.61904761904762,-40.1875,-8.6,10.833333333333334
2020-07-20,-15.222222222222221,-3.35,-30.285714285714285,-28.1875,-3.238095238095238,6.8
2020-07-21,-26.0,-12.35,-40.05,-33.5625,-4.619047619047619,8.0
2020-07-22,-26.57894736842105,-12.45,-44.714285714285715,-34.888888888888886,-5.0,9.2
2020-07-23,-35.2,-21.5,-54.333333333333336,-41.8235294117647,-9.19047619047619,11.133333333333333
2020-07-24,-34.7,-18.7,-56.904761904761905,-40.36842105263158,-8.571428571428571,11.857142857142858
2020-07-25,-29.0,-8.368421052631579,-44.904761904761905,-38.875,-7.523809523809524,10.222222222222221
2020-07-26,-32.22222222222222,-17.285714285714285,-40.666666666666664,-47.375,-10.4,12.333333333333334
2020-07-27,-24.88888888888889,-14.333333333333334,-42.476190476190474,-35.05555555555556,-6.238095238095238,8.866666666666667
2020-07-28,-29.55,-16.15,-46.6,-36.88235294117647,-7.761904761904762,9.333333333333334
2020-07-29,-25.105263157894736,-13.5,-38.714285714285715,-33.1764705882353,-7.380952380952381,8.6
2020-07-30,-28.95,-18.05,-40.80952380952381,-36.05882352941177,-9.142857142857142,9.133333333333333
2020-07-31,-24.2,-9.95,-39.19047619047619,-33.5,-6.9523809523809526,8.733333333333333
2020-08-01,-18.833333333333332,0.8333333333333334,-27.238095238095237,-32.0625,-4.619047619047619,7.555555555555555
2020-08-02,-23.77777777777778,-9.846153846153847,-29.285714285714285,-40.5625,-8.45,11.666666666666666
2020-08-03,-14.38888888888889,-1.1,-27.047619047619047,-25.4375,9.904761904761905,5.3125
2020-08-04,-13.555555555555555,3.473684210526316,-23.95,-20.2,10.333333333333334,4.3125
2020-08-05,-10.222222222222221,4.75,-22.142857142857142,-23.428571428571427,9.619047619047619,4.375
2020-08-06,-20.736842105263158,-5.526315789473684,-39.714285714285715,-24.5625,8.0,5.294117647058823
2020-08-07,-23.25,-4.95,-48.142857142857146,-29.875,5.333333333333333,7.733333333333333
2020-08-08,-17.27777777777778,4.222222222222222,-35.285714285714285,-31.866666666666667,-2.9523809523809526,8.444444444444445
2020-08-09,-26.444444444444443,-10.692307692307692,-38.38095238095238,-43.9375,-7.6,12.833333333333334
2020-08-10,-14.38888888888889,-0.5,-38.38095238095238,-23.9375,10.714285714285714,5.3125
2020-08-11,-21.42105263157895,-5.315789473684211,-42.4,-26.866666666666667,9.619047619047619,5.5625
