date,retail_and_recreation_percent_change_from_baseline_El Salvador,grocery_and_pharmacy_percent_change_from_baseline_El Salvador,parks_percent_change_from_baseline_El Salvador,transit_stations_percent_change_from_baseline_El Salvador,workplaces_percent_change_from_baseline_El Salvador,residential_percent_change_from_baseline_El Salvador
2020-10-06,-25.636363636363637,-9.5,-31.266666666666666,-24.571428571428573,-34.13333333333333,8.090909090909092
2020-10-07,-26.181818181818183,-11.5,-31.4,-26.25,-33.0,9.727272727272727
2020-10-08,-27.181818181818183,-13.25,-35.4,-29.125,-33.333333333333336,12.272727272727273
2020-10-09,-26.363636363636363,-12.25,-36.0,-24.625,-26.466666666666665,11.727272727272727
2020-10-10,-23.166666666666668,-12.666666666666666,-35.93333333333333,-28.5,-18.2,8.555555555555555
2020-10-11,-26.666666666666668,-18.625,-30.6,-30.625,-19.133333333333333,6.571428571428571
2020-10-12,-24.272727272727273,-11.125,-33.93333333333333,-30.428571428571427,-31.2,11.454545454545455
2020-10-13,-26.181818181818183,-12.5,-36.666666666666664,-31.571428571428573,-32.0,11.545454545454545
2020-10-14,-24.818181818181817,-8.25,-31.8,-28.714285714285715,-31.533333333333335,11.454545454545455
2020-10-15,-23.454545454545453,-3.375,-35.13333333333333,-28.571428571428573,-32.53333333333333,12.0
2020-10-16,-24.0,-2.888888888888889,-36.0,-21.875,-25.866666666666667,11.454545454545455
2020-10-17,-20.416666666666668,-4.222222222222222,-34.46666666666667,-22.625,-18.066666666666666,7.888888888888889
2020-10-18,-25.833333333333332,-11.625,-28.466666666666665,-24.125,-20.466666666666665,5.857142857142857
2020-10-19,-25.272727272727273,-8.125,-35.86666666666667,-28.571428571428573,-30.333333333333332,11.727272727272727
2020-10-20,-22.636363636363637,-6.5,-33.46666666666667,-29.142857142857142,-31.133333333333333,11.454545454545455
2020-10-21,-22.636363636363637,-6.25,-26.133333333333333,-27.0,-29.6,10.909090909090908
2020-10-22,-22.727272727272727,-8.0,-28.066666666666666,-29.428571428571427,-31.2,12.0
2020-10-23,-21.545454545454547,-3.0,-27.8,-21.375,-23.933333333333334,11.181818181818182
2020-10-24,-21.90909090909091,-4.777777777777778,-29.6,-25.125,-16.466666666666665,7.666666666666667
2020-10-25,-29.25,-14.25,-33.333333333333336,-29.0,-20.733333333333334,7.0
2020-10-26,-21.0,-3.25,-26.933333333333334,-29.285714285714285,-28.6,10.727272727272727
2020-10-27,-21.181818181818183,-4.25,-28.466666666666665,-27.428571428571427,-29.666666666666668,10.454545454545455
2020-10-28,-22.09090909090909,-8.0,-28.2,-24.857142857142858,-29.666666666666668,10.545454545454545
2020-10-29,-20.454545454545453,-4.75,-29.733333333333334,-24.428571428571427,-30.933333333333334,10.0
2020-10-30,-18.09090909090909,-0.25,-29.333333333333332,-17.625,-23.6,9.363636363636363
2020-10-31,-15.0,0.4444444444444444,-26.6,-19.625,-14.266666666666667,5.6
2020-11-01,-13.75,-0.5,-16.6,-19.714285714285715,-15.466666666666667,2.75
2020-11-02,-26.181818181818183,-14.0,-21.2,-42.714285714285715,-60.666666666666664,18.181818181818183
2020-11-03,-19.363636363636363,3.25,-32.8,-23.857142857142858,-28.933333333333334,9.363636363636363
2020-11-04,-28.363636363636363,-13.375,-41.0,-30.571428571428573,-31.2,12.818181818181818
