date,retail_and_recreation_percent_change_from_baseline_Paraguay,grocery_and_pharmacy_percent_change_from_baseline_Paraguay,parks_percent_change_from_baseline_Paraguay,transit_stations_percent_change_from_baseline_Paraguay,workplaces_percent_change_from_baseline_Paraguay,residential_percent_change_from_baseline_Paraguay
2021-01-28,-22.88235294117647,-13.0,-37.46153846153846,-42.1,-18.666666666666668,9.933333333333334
2021-01-29,-21.055555555555557,-9.235294117647058,-34.6875,-42.5,-18.22222222222222,7.6
2021-01-30,-22.88888888888889,-7.375,-35.0625,-42.84615384615385,-20.5,6.615384615384615
2021-01-31,-37.125,-23.142857142857142,-47.13333333333333,-49.54545454545455,-28.5,10.428571428571429
2021-02-01,-23.8125,-8.625,-37.0,-42.63636363636363,-20.27777777777778,7.571428571428571
2021-02-02,-29.11111111111111,-13.25,-44.07142857142857,-43.333333333333336,-25.333333333333332,10.466666666666667
2021-02-03,-23.0,-11.5,-35.6,-42.0,-20.72222222222222,8.266666666666667
2021-02-04,-18.0,-7.8125,-29.5,-35.0,-16.72222222222222,6.533333333333333
2021-02-05,-18.666666666666668,-7.9411764705882355,-31.125,-39.61538461538461,-17.22222222222222,6.133333333333334
2021-02-06,-20.11111111111111,-8.5625,-29.533333333333335,-41.15384615384615,-19.055555555555557,6.230769230769231
2021-02-07,-26.8125,-15.428571428571429,-29.466666666666665,-40.0,-21.666666666666668,7.142857142857143
2021-02-08,-16.823529411764707,-6.8125,-26.066666666666666,-35.8,-17.72222222222222,5.666666666666667
2021-02-09,-16.647058823529413,-5.75,-29.857142857142858,-33.77777777777778,-17.444444444444443,6.133333333333334
2021-02-10,-20.58823529411765,-10.5625,-36.6,-37.888888888888886,-17.055555555555557,7.8
2021-02-11,-18.705882352941178,-7.75,-34.42857142857143,-38.8,-16.22222222222222,5.133333333333334
2021-02-12,-19.61111111111111,-7.9411764705882355,-36.3125,-40.61538461538461,-17.11111111111111,3.2666666666666666
2021-02-13,-17.444444444444443,-2.375,-29.9375,-38.07692307692308,-20.833333333333332,2.0
2021-02-14,-21.875,-8.428571428571429,-30.533333333333335,-39.45454545454545,-22.61111111111111,4.428571428571429
2021-02-15,-17.823529411764707,-6.125,-30.4,-35.3,-18.055555555555557,2.2666666666666666
2021-02-16,-17.764705882352942,-4.9375,-29.733333333333334,-32.55555555555556,-18.166666666666668,3.0
2021-02-17,-17.58823529411765,-5.75,-29.666666666666668,-35.44444444444444,-16.333333333333332,2.6666666666666665
2021-02-18,-17.294117647058822,-5.25,-28.928571428571427,-32.22222222222222,-14.61111111111111,2.466666666666667
2021-02-19,-19.944444444444443,-7.647058823529412,-32.0,-40.30769230769231,-15.833333333333334,3.2
2021-02-20,-20.555555555555557,-5.0,-32.1875,-40.84615384615385,-19.22222222222222,3.3846153846153846
2021-02-21,-27.0,-12.5,-32.733333333333334,-41.54545454545455,-24.77777777777778,5.75
2021-02-22,-19.0,-7.4375,-30.133333333333333,-36.4,-15.5,2.933333333333333
2021-02-23,-20.11764705882353,-6.0625,-30.857142857142858,-33.22222222222222,-16.055555555555557,3.4
2021-02-24,-19.764705882352942,-7.25,-31.5625,-35.55555555555556,-15.11111111111111,4.133333333333334
2021-02-25,-17.647058823529413,-3.875,-31.533333333333335,-32.888888888888886,-14.277777777777779,3.6
2021-02-26,-15.055555555555555,2.1176470588235294,-29.4375,-33.76923076923077,-13.777777777777779,1.8
2021-02-27,-12.333333333333334,7.1875,-24.625,-30.846153846153847,-18.11111111111111,1.3571428571428572
2021-02-28,-18.75,-0.5714285714285714,-21.133333333333333,-36.36363636363637,-22.61111111111111,4.75
2021-03-01,-21.176470588235293,-7.5,-18.5,-39.44444444444444,-49.388888888888886,8.928571428571429
2021-03-02,-15.5625,4.25,-28.285714285714285,-26.0,-13.777777777777779,1.6666666666666667
2021-03-03,-21.11764705882353,-5.3125,-37.875,-34.666666666666664,-15.61111111111111,4.666666666666667
2021-03-04,-18.88235294117647,-2.5625,-35.06666666666667,-34.22222222222222,-14.88888888888889,4.466666666666667
2021-03-05,-18.88888888888889,-2.2941176470588234,-35.3125,-39.15384615384615,-14.333333333333334,4.666666666666667
2021-03-06,-18.0,0.125,-32.333333333333336,-39.84615384615385,-18.22222222222222,4.769230769230769
2021-03-07,-27.266666666666666,-7.214285714285714,-32.06666666666667,-41.90909090909091,-21.833333333333332,7.25
2021-03-08,-16.375,-1.5,-26.214285714285715,-34.0,-14.38888888888889,2.8666666666666667
2021-03-09,-16.941176470588236,-1.1875,-26.5,-29.77777777777778,-14.722222222222221,3.6
2021-03-10,-18.235294117647058,-3.875,-30.2,-34.55555555555556,-14.277777777777779,4.6
2021-03-11,-17.705882352941178,-4.25,-30.785714285714285,-31.77777777777778,-13.222222222222221,4.2
2021-03-12,-20.5,-5.529411764705882,-34.5,-38.916666666666664,-14.444444444444445,4.933333333333334
2021-03-13,-21.944444444444443,-3.3125,-34.0,-40.0,-19.333333333333332,5.769230769230769
2021-03-14,-30.4375,-10.785714285714286,-36.06666666666667,-44.36363636363637,-23.166666666666668,8.571428571428571
2021-03-15,-20.823529411764707,-4.875,-34.13333333333333,-39.2,-14.61111111111111,4.866666666666666
2021-03-16,-21.0,-3.6875,-34.733333333333334,-33.77777777777778,-15.38888888888889,4.866666666666666
2021-03-17,-28.470588235294116,-11.3125,-44.4375,-41.6,-18.444444444444443,9.428571428571429
2021-03-18,-21.88235294117647,-6.0,-33.857142857142854,-36.666666666666664,-13.5,6.866666666666666
2021-03-19,-24.833333333333332,-8.941176470588236,-40.0625,-43.30769230769231,-15.222222222222221,7.133333333333334
2021-03-20,-26.11111111111111,-6.625,-40.125,-47.0,-19.666666666666668,7.461538461538462
2021-03-21,-43.0625,-20.714285714285715,-57.9375,-56.18181818181818,-29.666666666666668,15.428571428571429
2021-03-22,-24.764705882352942,-9.125,-38.733333333333334,-43.09090909090909,-15.722222222222221,7.0
2021-03-23,-24.764705882352942,-8.5,-38.46666666666667,-37.77777777777778,-15.61111111111111,6.8
2021-03-24,-24.352941176470587,-9.75,-38.875,-39.333333333333336,-15.722222222222221,7.066666666666666
2021-03-25,-21.235294117647058,-4.8125,-34.61538461538461,-36.6,-14.722222222222221,5.666666666666667
2021-03-26,-20.055555555555557,-0.5882352941176471,-37.8125,-29.666666666666668,-15.166666666666666,5.0
2021-03-27,-42.0,-13.1875,-56.5625,-64.15384615384616,-28.333333333333332,14.538461538461538
2021-03-28,-51.588235294117645,-23.0,-63.375,-72.36363636363636,-33.611111111111114,20.285714285714285
2021-03-29,-29.941176470588236,-8.25,-45.93333333333333,-57.0,-28.0,13.142857142857142
2021-03-30,-24.764705882352942,3.5,-40.266666666666666,-50.333333333333336,-28.11111111111111,10.714285714285714
2021-03-31,-23.529411764705884,10.5,-39.5625,-55.22222222222222,-34.611111111111114,8.733333333333333
2021-04-01,-46.05882352941177,-18.3125,-50.5625,-73.9,-62.77777777777778,15.714285714285714
2021-04-02,-69.3529411764706,-69.4375,-60.11764705882353,-83.18181818181819,-77.94444444444444,30.285714285714285
2021-04-03,-39.888888888888886,-12.5,-51.8125,-66.08333333333333,-41.44444444444444,15.923076923076923
2021-04-04,-42.8125,-16.142857142857142,-55.06666666666667,-64.81818181818181,-29.0,13.714285714285714
2021-04-05,-23.375,-6.1875,-39.4,-34.7,-20.77777777777778,7.266666666666667
