date,retail_and_recreation_percent_change_from_baseline_Guatemala,grocery_and_pharmacy_percent_change_from_baseline_Guatemala,parks_percent_change_from_baseline_Guatemala,transit_stations_percent_change_from_baseline_Guatemala,workplaces_percent_change_from_baseline_Guatemala,residential_percent_change_from_baseline_Guatemala
2021-09-15,8.755555555555556,23.135135135135137,-11.628205128205128,-23.814814814814813,-46.50909090909091,11.142857142857142
2021-09-16,6.568181818181818,22.2972972972973,-13.896103896103897,-16.25925925925926,-15.254545454545454,4.294117647058823
2021-09-17,5.088888888888889,17.13157894736842,-14.641975308641975,-17.7,-12.36111111111111,5.085106382978723
2021-09-18,5.0,17.069767441860463,-12.909090909090908,-7.25,-6.630434782608695,1.763157894736842
2021-09-19,4.382978723404255,10.894736842105264,-8.264367816091953,-14.642857142857142,-13.763157894736842,1.1333333333333333
2021-09-20,5.613636363636363,17.692307692307693,-13.027027027027026,-15.7,-11.440366972477063,3.2745098039215685
2021-09-21,5.931818181818182,16.45945945945946,-12.623376623376624,-17.11111111111111,-11.770642201834862,4.3
2021-09-22,5.288888888888889,15.837837837837839,-13.717948717948717,-14.26923076923077,-9.383177570093459,4.82
2021-09-23,7.466666666666667,17.89189189189189,-12.415584415584416,-14.333333333333334,-10.12037037037037,4.352941176470588
2021-09-24,5.133333333333334,16.76923076923077,-11.822784810126583,-14.821428571428571,-7.59047619047619,3.8541666666666665
2021-09-25,3.0384615384615383,12.744186046511627,-13.767441860465116,-8.909090909090908,-3.606741573033708,1.5945945945945945
2021-09-26,3.2708333333333335,7.421052631578948,-11.873563218390805,-16.714285714285715,-11.123287671232877,0.8
2021-09-27,3.311111111111111,13.333333333333334,-16.466666666666665,-18.733333333333334,-8.44954128440367,3.843137254901961
2021-09-28,6.090909090909091,16.945945945945947,-14.342105263157896,-18.03846153846154,-9.166666666666666,3.4
2021-09-29,9.333333333333334,22.076923076923077,-11.461538461538462,-14.481481481481481,-9.401869158878505,3.0980392156862746
2021-09-30,18.568181818181817,35.138888888888886,-8.337662337662337,-7.444444444444445,-7.803738317757009,2.2745098039215685
2021-10-01,25.348837209302324,34.21052631578947,-4.620253164556962,-6.821428571428571,-5.673076923076923,0.1836734693877551
2021-10-02,14.48,25.568181818181817,-8.701149425287356,2.71875,-2.606741573033708,-0.6923076923076923
2021-10-03,14.282608695652174,22.56756756756757,-3.8255813953488373,-10.23076923076923,-9.675675675675675,-1.2333333333333334
2021-10-04,9.136363636363637,18.85,-13.11111111111111,-12.03448275862069,-7.926605504587156,1.8627450980392157
2021-10-05,13.431818181818182,25.43243243243243,-8.394736842105264,-14.538461538461538,-8.596330275229358,2.44
2021-10-06,10.840909090909092,21.36842105263158,-11.6125,-13.26923076923077,-8.101851851851851,2.9411764705882355
2021-10-07,12.772727272727273,23.783783783783782,-9.276315789473685,-11.222222222222221,-8.925925925925926,3.156862745098039
2021-10-08,10.886363636363637,22.05263157894737,-9.275,-12.071428571428571,-5.152380952380953,2.4489795918367347
2021-10-09,9.352941176470589,19.88095238095238,-9.976470588235294,-5.71875,-1.3333333333333333,0.358974358974359
2021-10-10,11.456521739130435,14.921052631578947,-4.453488372093023,-14.428571428571429,-10.333333333333334,-0.43333333333333335
2021-10-11,10.181818181818182,18.615384615384617,-11.4,-17.586206896551722,-6.247706422018348,2.607843137254902
2021-10-12,13.068181818181818,19.694444444444443,-8.5,-16.40740740740741,-8.38888888888889,1.9411764705882353
2021-10-13,8.466666666666667,19.692307692307693,-10.717948717948717,-17.88888888888889,-6.654205607476635,3.3333333333333335
2021-10-14,11.795454545454545,24.37837837837838,-8.960526315789474,-13.518518518518519,-6.546296296296297,3.1372549019607843
2021-10-15,12.272727272727273,25.23076923076923,-9.207792207792208,-11.178571428571429,-2.6538461538461537,2.2653061224489797
2021-10-16,15.38,26.86046511627907,-6.376470588235295,0.5,0.05747126436781609,-0.8974358974358975
2021-10-17,14.41304347826087,19.055555555555557,-2.9186046511627906,-11.576923076923077,-8.094594594594595,-1.2
2021-10-18,12.613636363636363,21.973684210526315,-8.797297297297296,-9.857142857142858,-7.513761467889908,1.8627450980392157
