date,retail_and_recreation_percent_change_from_baseline_Nicaragua,grocery_and_pharmacy_percent_change_from_baseline_Nicaragua,parks_percent_change_from_baseline_Nicaragua,transit_stations_percent_change_from_baseline_Nicaragua,workplaces_percent_change_from_baseline_Nicaragua,residential_percent_change_from_baseline_Nicaragua
2021-07-26,18.5,36.44444444444444,-1.9230769230769231,7.75,-3.2777777777777777,-2.375
2021-07-27,14.375,34.55555555555556,-9.692307692307692,9.625,-0.9444444444444444,-2.5555555555555554
2021-07-28,12.75,28.22222222222222,-10.846153846153847,8.75,-1.5555555555555556,-2.5555555555555554
2021-07-29,17.75,36.888888888888886,-4.3076923076923075,10.75,-2.2222222222222223,-2.9
2021-07-30,18.2,46.666666666666664,1.5,15.125,1.2941176470588236,-3.75
2021-07-31,22.727272727272727,50.888888888888886,4.142857142857143,15.125,-9.294117647058824,-4.125
2021-08-01,19.1,49.5,1.6666666666666667,15.0,-22.41176470588235,-2.2
2021-08-02,20.0,40.22222222222222,-7.769230769230769,11.0,0.05555555555555555,-3.4444444444444446
2021-08-03,18.25,39.333333333333336,-6.384615384615385,9.5,0.6666666666666666,-3.6666666666666665
2021-08-04,22.375,40.666666666666664,-0.07692307692307693,14.25,1.6111111111111112,-4.555555555555555
2021-08-05,18.25,38.666666666666664,-4.6923076923076925,11.5,-0.4444444444444444,-3.4
2021-08-06,17.0,44.77777777777778,0.07142857142857142,13.25,3.5294117647058822,-3.875
2021-08-07,16.363636363636363,44.44444444444444,2.642857142857143,14.375,-9.411764705882353,-2.625
2021-08-08,8.7,37.75,-5.133333333333334,7.714285714285714,-22.647058823529413,0.0
2021-08-09,25.125,44.666666666666664,0.07692307692307693,14.5,2.0555555555555554,-4.1
2021-08-10,21.5,43.55555555555556,3.076923076923077,3.75,-10.833333333333334,0.5555555555555556
2021-08-11,16.875,34.0,-3.076923076923077,13.125,1.5,-4.1
2021-08-12,13.777777777777779,34.77777777777778,-1.3846153846153846,10.375,1.0,-3.2
2021-08-13,19.0,47.22222222222222,6.214285714285714,13.875,4.823529411764706,-4.222222222222222
2021-08-14,21.454545454545453,52.55555555555556,8.0,14.125,-10.11111111111111,-3.25
2021-08-15,21.1,51.875,4.133333333333334,21.0,-21.0,-2.2
2021-08-16,24.75,47.111111111111114,0.38461538461538464,17.0,1.2777777777777777,-3.9
2021-08-17,17.77777777777778,44.333333333333336,-0.46153846153846156,14.625,1.7777777777777777,-3.888888888888889
2021-08-18,16.22222222222222,38.44444444444444,-0.6923076923076923,12.75,5.055555555555555,-3.5
2021-08-19,11.333333333333334,34.333333333333336,-6.615384615384615,11.75,1.7777777777777777,-2.3
2021-08-20,11.3,39.0,-6.0,13.875,3.888888888888889,-2.375
2021-08-21,14.909090909090908,43.55555555555556,0.7142857142857143,12.5,-9.176470588235293,-1.75
2021-08-22,6.2,37.25,-8.666666666666666,9.0,-22.529411764705884,0.6
2021-08-23,15.625,34.666666666666664,-8.461538461538462,9.125,2.3333333333333335,-2.4444444444444446
2021-08-24,13.555555555555555,40.111111111111114,-5.538461538461538,11.875,0.9444444444444444,-3.7777777777777777
2021-08-25,15.25,33.44444444444444,-5.846153846153846,11.125,2.0555555555555554,-2.888888888888889
2021-08-26,11.222222222222221,33.22222222222222,-5.846153846153846,11.125,-0.5,-2.6
2021-08-27,11.0,38.0,-3.5,9.5,-2.3333333333333335,-0.875
2021-08-28,13.363636363636363,43.888888888888886,-0.5,6.5,-9.176470588235293,-0.875
2021-08-29,7.5,40.5,-6.466666666666667,8.857142857142858,-22.235294117647058,0.8
2021-08-30,20.0,43.111111111111114,-5.153846153846154,11.25,1.2222222222222223,-2.4
2021-08-31,11.777777777777779,41.55555555555556,-9.307692307692308,10.375,0.8888888888888888,-2.0
2021-09-01,16.0,41.0,-6.230769230769231,19.714285714285715,0.3333333333333333,-1.7777777777777777
2021-09-02,14.625,40.77777777777778,-6.153846153846154,10.5,-0.9444444444444444,-1.0
2021-09-03,13.3,46.0,0.0,13.75,0.5555555555555556,-0.875
2021-09-04,8.545454545454545,41.666666666666664,-5.142857142857143,6.125,-10.0,1.0
2021-09-05,5.3,43.125,-7.866666666666666,5.857142857142857,-22.647058823529413,2.0
2021-09-06,13.125,35.44444444444444,-12.615384615384615,8.0,-1.8888888888888888,-0.5
2021-09-07,12.0,41.333333333333336,-6.769230769230769,8.25,-1.6111111111111112,-1.2222222222222223
2021-09-08,10.125,32.22222222222222,-8.461538461538462,5.0,-2.611111111111111,-0.2222222222222222
2021-09-09,3.3,29.555555555555557,-12.384615384615385,5.25,-5.166666666666667,0.4444444444444444
2021-09-10,3.090909090909091,33.77777777777778,-8.142857142857142,3.875,-1.5555555555555556,1.0
2021-09-11,6.363636363636363,42.111111111111114,-4.285714285714286,-2.125,-13.055555555555555,1.5
2021-09-12,-6.181818181818182,32.75,-14.866666666666667,-6.0,-26.294117647058822,4.4
2021-09-13,20.0,47.0,-6.076923076923077,1.625,-26.88888888888889,4.125
2021-09-14,5.875,35.111111111111114,0.23076923076923078,-9.375,-47.22222222222222,8.25
2021-09-15,-10.0,13.555555555555555,-13.461538461538462,-21.5,-53.611111111111114,11.625
2021-09-16,7.555555555555555,38.888888888888886,-10.0,1.625,-28.444444444444443,4.125
2021-09-17,2.3636363636363638,37.22222222222222,-9.357142857142858,-2.25,-24.833333333333332,5.125
2021-09-18,0.45454545454545453,35.666666666666664,-9.642857142857142,-8.25,-18.72222222222222,3.625
2021-09-19,-4.1,33.25,-13.333333333333334,-2.142857142857143,-26.705882352941178,5.0
2021-09-20,15.625,40.55555555555556,-5.461538461538462,7.75,-4.166666666666667,0.0
2021-09-21,11.222222222222221,39.333333333333336,-7.153846153846154,8.0,-4.777777777777778,-0.375
2021-09-22,8.333333333333334,33.333333333333336,-6.153846153846154,14.857142857142858,-2.2222222222222223,0.2222222222222222
2021-09-23,6.333333333333333,31.11111111111111,-7.538461538461538,5.5,-4.277777777777778,0.8888888888888888
2021-09-24,-0.2727272727272727,29.77777777777778,-9.571428571428571,1.75,-8.61111111111111,2.875
2021-09-25,1.7272727272727273,34.55555555555556,-8.642857142857142,-1.0,-13.470588235294118,2.0
2021-09-26,-1.9,33.625,-14.266666666666667,-4.857142857142857,-23.764705882352942,4.4
2021-09-27,15.75,36.111111111111114,-7.384615384615385,5.5,-1.9444444444444444,-0.25
2021-09-28,10.11111111111111,36.55555555555556,-7.769230769230769,5.75,-2.111111111111111,-0.5
2021-09-29,10.666666666666666,33.77777777777778,-7.0,5.375,-1.2777777777777777,-0.3333333333333333
2021-09-30,13.666666666666666,38.77777777777778,-6.6923076923076925,10.25,-2.7222222222222223,-0.1111111111111111
2021-10-01,13.8,46.666666666666664,-2.0,11.5,1.3529411764705883,-1.125
2021-10-02,12.909090909090908,48.888888888888886,-1.7857142857142858,6.25,-9.588235294117647,-0.25
2021-10-03,8.5,46.625,-6.5,7.285714285714286,-21.58823529411765,2.2
2021-10-04,18.375,39.666666666666664,-5.923076923076923,6.25,-0.1111111111111111,-2.125
2021-10-05,17.444444444444443,45.666666666666664,-3.0,8.125,-0.2222222222222222,-1.5555555555555556
2021-10-06,16.375,33.44444444444444,-7.6923076923076925,13.857142857142858,-0.2222222222222222,-1.6666666666666667
