date,retail_and_recreation_percent_change_from_baseline_Mexico,grocery_and_pharmacy_percent_change_from_baseline_Mexico,parks_percent_change_from_baseline_Mexico,transit_stations_percent_change_from_baseline_Mexico,workplaces_percent_change_from_baseline_Mexico,residential_percent_change_from_baseline_Mexico
2021-09-23,-5.0,20.545454545454547,-20.757575757575758,-4.2727272727272725,-9.393939393939394,6.848484848484849
2021-09-24,-7.363636363636363,21.818181818181817,-21.151515151515152,-5.96875,-3.8484848484848486,6.484848484848484
2021-09-25,-6.242424242424242,23.21212121212121,-19.545454545454547,-3.6875,13.06060606060606,2.8484848484848486
2021-09-26,-7.242424242424242,19.151515151515152,-19.242424242424242,-3.1875,16.818181818181817,3.0
2021-09-27,-7.303030303030303,20.242424242424242,-21.0,-4.757575757575758,-5.7272727272727275,5.818181818181818
2021-09-28,-5.787878787878788,19.181818181818183,-19.575757575757574,-3.757575757575758,-9.0,6.0606060606060606
2021-09-29,-2.1818181818181817,23.78787878787879,-17.848484848484848,-1.4545454545454546,-8.242424242424242,5.787878787878788
2021-09-30,1.5757575757575757,28.90909090909091,-21.03030303030303,0.42424242424242425,-8.090909090909092,5.7272727272727275
2021-10-01,-0.12121212121212122,31.151515151515152,-21.696969696969695,-0.46875,-2.606060606060606,5.393939393939394
2021-10-02,0.9090909090909091,31.666666666666668,-19.333333333333332,2.5,13.909090909090908,1.9696969696969697
2021-10-03,-0.48484848484848486,27.060606060606062,-18.666666666666668,2.375,17.060606060606062,2.090909090909091
2021-10-04,-3.9393939393939394,25.242424242424242,-21.757575757575758,-3.303030303030303,-4.909090909090909,4.878787878787879
2021-10-05,-2.727272727272727,23.12121212121212,-22.12121212121212,-2.212121212121212,-8.93939393939394,5.9393939393939394
2021-10-06,-0.24242424242424243,24.12121212121212,-21.09090909090909,-1.696969696969697,-7.666666666666667,5.787878787878788
2021-10-07,-0.9090909090909091,24.09090909090909,-20.90909090909091,-1.9696969696969697,-7.424242424242424,5.757575757575758
2021-10-08,-2.757575757575758,25.818181818181817,-20.424242424242426,-2.8125,-1.7878787878787878,5.424242424242424
2021-10-09,-0.7878787878787878,27.484848484848484,-17.151515151515152,0.34375,14.151515151515152,2.0606060606060606
2021-10-10,-1.5757575757575757,23.78787878787879,-17.666666666666668,0.15625,17.272727272727273,2.121212121212121
2021-10-11,-3.121212121212121,24.90909090909091,-19.424242424242426,-1.8484848484848484,-3.3636363636363638,5.0
2021-10-12,-2.515151515151515,22.545454545454547,-20.151515151515152,-1.696969696969697,-8.515151515151516,5.848484848484849
2021-10-13,-1.0303030303030303,24.21212121212121,-20.78787878787879,-1.3333333333333333,-7.212121212121212,5.575757575757576
2021-10-14,2.3636363636363638,27.78787878787879,-18.666666666666668,0.9090909090909091,-5.242424242424242,4.96969696969697
2021-10-15,3.6666666666666665,33.72727272727273,-16.575757575757574,2.25,-0.030303030303030304,4.0
2021-10-16,4.909090909090909,34.39393939393939,-15.272727272727273,5.40625,14.848484848484848,1.121212121212121
2021-10-17,3.6363636363636362,30.12121212121212,-15.363636363636363,6.53125,18.12121212121212,1.6363636363636365
2021-10-18,1.303030303030303,30.060606060606062,-17.09090909090909,3.0303030303030303,-2.787878787878788,4.393939393939394
2021-10-19,0.8787878787878788,26.12121212121212,-17.181818181818183,3.606060606060606,-6.393939393939394,5.090909090909091
2021-10-20,1.878787878787879,27.181818181818183,-17.818181818181817,3.3333333333333335,-5.666666666666667,5.212121212121212
2021-10-21,1.3333333333333333,26.303030303030305,-19.242424242424242,2.909090909090909,-6.363636363636363,5.545454545454546
2021-10-22,-1.1818181818181819,27.484848484848484,-18.78787878787879,1.65625,-0.21212121212121213,4.96969696969697
2021-10-23,0.9090909090909091,29.151515151515152,-15.151515151515152,4.71875,14.515151515151516,1.7575757575757576
2021-10-24,0.8484848484848485,26.363636363636363,-14.696969696969697,5.40625,17.96969696969697,1.9090909090909092
2021-10-25,-1.7272727272727273,26.545454545454547,-20.242424242424242,1.3636363636363635,-2.606060606060606,4.909090909090909
2021-10-26,1.4848484848484849,26.90909090909091,-15.818181818181818,4.575757575757576,-4.96969696969697,4.787878787878788
2021-10-27,4.303030303030303,31.484848484848484,-13.969696969696969,7.151515151515151,-4.545454545454546,4.333333333333333
2021-10-28,5.424242424242424,32.39393939393939,-13.272727272727273,9.0,-4.545454545454546,3.6363636363636362
2021-10-29,7.303030303030303,39.81818181818182,-9.151515151515152,12.90625,0.42424242424242425,3.0
2021-10-30,10.151515151515152,45.42424242424242,-1.121212121212121,23.03125,16.09090909090909,-1.303030303030303
2021-10-31,13.0,44.54545454545455,9.666666666666666,17.5,21.757575757575758,-1.5757575757575757
2021-11-01,11.303030303030303,43.39393939393939,9.363636363636363,5.303030303030303,-18.757575757575758,4.181818181818182
2021-11-02,1.1818181818181819,28.666666666666668,-0.7272727272727273,7.090909090909091,-34.39393939393939,7.515151515151516
2021-11-03,4.636363636363637,32.03030303030303,-15.484848484848484,14.272727272727273,-4.545454545454546,3.878787878787879
