date,retail_and_recreation_percent_change_from_baseline_Ecuador,grocery_and_pharmacy_percent_change_from_baseline_Ecuador,parks_percent_change_from_baseline_Ecuador,transit_stations_percent_change_from_baseline_Ecuador,workplaces_percent_change_from_baseline_Ecuador,residential_percent_change_from_baseline_Ecuador
2020-05-15,-59.34848484848485,-44.67307692307692,-52.41463414634146,-71.52830188679245,-56.00925925925926,33.30555555555556
2020-05-16,-73.19402985074628,-63.14545454545455,-65.08403361344538,-78.18604651162791,-46.48863636363637,28.96875
2020-05-17,-74.8688524590164,-71.54716981132076,-67.13793103448276,-80.7560975609756,-38.014084507042256,23.857142857142858
2020-05-18,-53.86666666666667,-42.14,-48.5,-69.32075471698113,-53.372727272727275,29.125
2020-05-19,-54.354838709677416,-41.93877551020408,-47.90833333333333,-67.88461538461539,-54.27272727272727,28.925
2020-05-20,-53.75,-39.74,-47.84033613445378,-67.6923076923077,-54.0,28.7
2020-05-21,-53.53125,-39.16326530612245,-48.77049180327869,-67.36538461538461,-54.153153153153156,29.23076923076923
2020-05-22,-54.78260869565217,-39.94,-49.33870967741935,-68.94545454545455,-51.398148148148145,31.3
2020-05-23,-66.92857142857143,-56.45454545454545,-60.664,-74.42857142857143,-39.07142857142857,26.5
2020-05-24,-72.4375,-68.27777777777777,-65.31666666666666,-79.8780487804878,-32.690140845070424,22.583333333333332
2020-05-25,-47.11290322580645,-34.86274509803921,-44.06837606837607,-64.9090909090909,-53.445454545454545,27.65
2020-05-26,-47.74603174603175,-34.816326530612244,-44.082644628099175,-63.27272727272727,-49.620370370370374,25.953488372093023
2020-05-27,-49.261538461538464,-37.0,-44.813559322033896,-64.96296296296296,-49.19266055045872,26.928571428571427
2020-05-28,-48.36507936507937,-34.91836734693877,-44.25,-64.18867924528301,-48.57798165137615,26.878048780487806
2020-05-29,-50.30434782608695,-35.8,-45.642276422764226,-65.89285714285714,-47.2,29.875
2020-05-30,-59.45070422535211,-46.05555555555556,-54.51219512195122,-70.25925925925925,-29.095238095238095,23.28125
2020-05-31,-67.6268656716418,-62.88461538461539,-60.72950819672131,-77.33333333333333,-23.686567164179106,21.23076923076923
2020-06-01,-34.75409836065574,-20.38,-35.66086956521739,-59.166666666666664,-42.63551401869159,23.558139534883722
2020-06-02,-39.796875,-25.693877551020407,-37.141666666666666,-59.2962962962963,-43.89719626168224,24.325581395348838
2020-06-03,-41.059701492537314,-27.224489795918366,-38.313559322033896,-59.67307692307692,-43.83177570093458,24.5
2020-06-04,-40.246153846153845,-25.53061224489796,-37.90909090909091,-59.39622641509434,-43.85981308411215,24.813953488372093
2020-06-05,-43.970588235294116,-27.45098039215686,-41.39837398373984,-61.50877192982456,-42.647619047619045,27.634146341463413
2020-06-06,-50.27777777777778,-33.7037037037037,-46.68,-61.472727272727276,-21.353658536585368,20.21875
2020-06-07,-64.6,-58.76923076923077,-58.388888888888886,-74.11363636363636,-18.70769230769231,20.59259259259259
2020-06-08,-33.507936507936506,-21.529411764705884,-33.243478260869566,-56.925925925925924,-38.11678832116788,22.822222222222223
2020-06-09,-37.04761904761905,-24.54901960784314,-34.925619834710744,-57.148148148148145,-39.934306569343065,23.044444444444444
